"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient"
0, -5.000000000000000e-02, 0.000000000000000e+00, 8.894939602537861e-45, 1.267430461343844e-26, 1.947435961507156e-44, 1.065942355278789e-03, 2.833517653272730e-04, 7.724885620526752e+00, 4.281130392899526e-16, 2.273700247243769e+04, 5.607787089132575e+01, 6.592291085165719e-42, 9.393285288863134e-24, 1.443299820081056e-41, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000001563e+02, 1.000000000000397e+03, 1.000000000000000e+03, 5.725131016695581e+03, 3.172866706761141e-13, 8.999999999998181e+00, 7.066550043218069e-15
1, 0.000000000000000e+00, 0.000000000000000e+00, 1.519832554947840e-42, 1.825664675762255e-25, 3.367357276674431e-42, 1.342921270110385e-03, 3.569790718014947e-04, 9.697356600483328e+00, 1.958366274723983e-02, 2.858829731115495e+04, 7.064940905575249e+01, 8.940715625943597e-40, 1.073983356994286e-22, 1.980914524016838e-39, 7.899999999999999e-01, 2.100000000000000e-01, 5.481221024533312e+02, 1.115567554439023e+03, 1.000000132792781e+03, 5.704661833044109e+03, 1.152047697408783e+01, 8.490630334360683e+00, 7.150642873254696e-03
2, 1.931920337076797e-01, 5.173816881076040e-02, 1.403667944475931e-15, 9.612893674305850e-12, 3.921190976966214e-15, 7.971241774437856e-03, 2.118937677261761e-03, 4.916777463474122e+01, 1.567465738291276e+01, 1.606039795822230e+05, 8.237382885244837e+02, 1.391122873341446e-13, 9.526979882923065e-10, 3.886145922377960e-13, 7.899999999996795e-01, 2.099999990470948e-01, 1.234245350860153e+04, 4.231989972841953e+03, 1.259587343112919e+03, 4.872834504404308e+03, 1.553456749010643e+03, 3.908273130287542e+00, 5.405172659174253e-01
3, 3.346696875411197e-01, 1.931032050318336e-01, 5.880784387123235e-05, 1.720915276538499e-03, 4.132587343725309e-04, 7.378929389833409e-03, 8.713227404610973e-05, 2.977667507640048e+01, 2.802703061355562e+01, 1.518275075211921e+05, 7.938283928422087e+03, 6.088371354535519e-03, 1.781662204144334e-01, 4.278464359065091e-02, 7.639399673038981e-01, 9.020797336482190e-03, 1.372922316191351e+04, 4.215994606955773e+03, 4.845013853266941e+03, 3.082776780006259e+03, 2.901636229240082e+03, 2.947374890631076e+00, 6.032301592096707e-01
4, 4.846696875411197e-01, 1.931032050318336e-01, 2.194857646018477e-06, 9.447199361498075e-05, 1.914486583168733e-05, 3.968963024081539e-04, 3.782979647737635e-06, 2.366124755328475e+00, -5.071203084503433e-03, 8.335521268286790e+03, 3.354323644423018e+02, 4.249556429127791e-03, 1.829112100127889e-01, 3.706718193201264e-02, 7.684476652302307e-01, 7.324386395839962e-03, 5.171732123915750e+02, 2.963993163713643e+03, 4.136941638323096e+03, 4.581153900511275e+03, -9.818570106474612e+00, 3.798994013442318e+00, 5.751063328576199e-03
6, -3.672720575105880e-02, 0.000000000000000e+00, 7.348884258617641e-44, 4.260992184100594e-26, 1.650144329522770e-43, 1.065942355278789e-03, 2.833517653272729e-04, 7.724885620526751e+00, 5.398081594209449e-16, 2.273700247243768e+04, 5.607787089151804e+01, 5.446465782654375e-41, 3.157941711171680e-23, 1.222968591000438e-40, 7.900000000000000e-01, 2.099999999999999e-01, 3.900000000001562e+02, 1.000000000000397e+03, 1.000000000000000e+03, 5.725131016695580e+03, 4.000670803919901e-13, 8.999999999998179e+00, 7.063979453897147e-15
7, -2.706635166066583e-02, 0.000000000000000e+00, 1.416827501542913e-43, 6.326840607894212e-26, 3.213384034452020e-43, 1.065942355278789e-03, 2.833517653272729e-04, 7.724885620526750e+00, 5.619171338665651e-16, 2.273700247243768e+04, 5.607787089151271e+01, 1.050050896913800e-40, 4.689000353053038e-23, 2.381529709036800e-40, 7.900000000000000e-01, 2.099999999999999e-01, 3.900000000001562e+02, 1.000000000000397e+03, 1.000000000000000e+03, 5.725131016695579e+03, 4.164526660904511e-13, 8.999999999998177e+00, 7.063979453897147e-15
8, -2.003441039120747e-02, 0.000000000000000e+00, 2.038397301938268e-43, 7.832710609389691e-26, 4.655254819938595e-43, 1.065942355278788e-03, 2.833517653272728e-04, 7.724885620526750e+00, 5.420840762194909e-16, 2.273700247243768e+04, 5.607787089152657e+01, 1.510713839783637e-40, 5.805043162769789e-23, 3.450140891333313e-40, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000001560e+02, 1.000000000000397e+03, 1.000000000000000e+03, 5.725131016695582e+03, 4.017538266423361e-13, 8.999999999998183e+00, 7.056267685934377e-15
9, -1.491586169812741e-02, 0.000000000000000e+00, 2.558862591629312e-43, 8.933868508222316e-26, 5.872896923311111e-43, 1.065942355278788e-03, 2.833517653272727e-04, 7.724885620526748e+00, 5.500889513902323e-16, 2.273700247243767e+04, 5.607787089152616e+01, 1.896445372844247e-40, 6.621142397188762e-23, 4.352569861249517e-40, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000001560e+02, 1.000000000000397e+03, 1.000000000000000e+03, 5.725131016695581e+03, 4.076864658264052e-13, 8.999999999998181e+00, 7.053697096613453e-15
10, -1.118990120989038e-02, 0.000000000000000e+00, 2.967358920325397e-43, 9.728379922566236e-26, 6.834175601587576e-43, 1.065942355278788e-03, 2.833517653272727e-04, 7.724885620526747e+00, 5.331368321825443e-16, 2.273700247243767e+04, 5.607787089152701e+01, 2.199193544986732e-40, 7.209977256994607e-23, 5.065000652724906e-40, 7.900000000000000e-01, 2.099999999999999e-01, 3.900000000001559e+02, 1.000000000000397e+03, 1.000000000000000e+03, 5.725131016695581e+03, 3.951227712628555e-13, 8.999999999998181e+00, 7.048555917971607e-15
