"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Density_5","Density_6","Density_7","Density_8","Density_9","Density_10","Momentum_x","Momentum_y","Energy","Energy_ve","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient","Metric_xx","Metric_xy","Metric_yy"
0, -5.000000000000000e-02, 0.000000000000000e+00, 2.272368347210775e-84, 1.267017140177277e-135, 2.585467384969965e-115, 1.239698362960203e-79, 1.153748821362605e-102, 4.887998556954935e-85, 7.403195162720244e-44, 3.692068472291846e-26, 1.701833745141232e-43, 1.065942355278784e-03, 2.833517653272717e-04, 7.724885620526747e+00, -7.427117940102834e-17, 2.273700246985238e+04, 5.607786830586523e+01, 3.900000000000194e+02, 1.000000000000051e+03, 9.999999999999649e+02, 5.725131016695602e+03, -5.504446974664672e-14, 8.999999999999773e+00, 8.791415477557584e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
2, -3.640905996670419e-02, 0.000000000000000e+00, 1.407388336250868e-83, 1.259010143372059e-134, 1.885819426391751e-114, 7.678060648939154e-79, 6.514693403041841e-102, 2.472592808609771e-84, 2.352417856031463e-43, 7.491848878558956e-26, 5.550834145630486e-43, 1.065942355278784e-03, 2.833517653272715e-04, 7.724885620526744e+00, -2.556054912650278e-16, 2.273700246985236e+04, 5.607786830575506e+01, 3.900000000000192e+02, 1.000000000000051e+03, 9.999999999999649e+02, 5.725131016695602e+03, -1.894364522615861e-13, 8.999999999999773e+00, 8.688591904720652e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
4, -2.648758523368654e-02, 0.000000000000000e+00, 2.693447398721535e-83, 3.036933031400216e-134, 3.958536896511077e-114, 1.469420760086498e-78, 1.178201828284408e-101, 4.436075124750862e-84, 3.615108769020821e-43, 9.835971867481977e-26, 8.607630975791638e-43, 1.065942355278785e-03, 2.833517653272719e-04, 7.724885620526749e+00, -1.939427384302075e-16, 2.273700246985240e+04, 5.607786830623971e+01, 3.900000000000198e+02, 1.000000000000051e+03, 9.999999999999649e+02, 5.725131016695597e+03, -1.437364437214734e-13, 8.999999999999766e+00, 8.945650836812981e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
7, -1.924472747190228e-02, 0.000000000000000e+00, 3.927608530675648e-83, 5.106462057086827e-134, 6.130760350371067e-114, 2.142722395352898e-78, 1.649357754693474e-101, 6.251169815228892e-84, 4.649229881305386e-43, 1.154085501351191e-25, 1.112554837832871e-42, 1.065942355278784e-03, 2.833517653272719e-04, 7.724885620526746e+00, -3.382571663200841e-16, 2.273700246985240e+04, 5.607786830634157e+01, 3.900000000000195e+02, 1.000000000000051e+03, 9.999999999999649e+02, 5.725131016695600e+03, -2.506919441464332e-13, 8.999999999999767e+00, 8.817121370766817e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
19, -1.395714581734536e-02, 0.000000000000000e+00, 4.918687999474083e-83, 7.002117851756794e-134, 8.020119817048512e-114, 2.683409877359100e-78, 2.005409467782127e-101, 7.667454113534530e-84, 5.383864231458855e-43, 1.265610971023471e-25, 1.292037886152510e-42, 1.065942355278786e-03, 2.833517653272723e-04, 7.724885620526754e+00, 1.430786971579111e-16, 2.273700246985243e+04, 5.607786830645674e+01, 3.900000000000201e+02, 1.000000000000051e+03, 9.999999999999649e+02, 5.725131016695596e+03, 1.060396654612598e-13, 8.999999999999764e+00, 9.099886196068375e-16, 4.000000000000001e+00, 0.000000000000000e+00, 4.000000000000001e+00
22, -1.009678458521239e-02, 0.000000000000000e+00, 5.720005342682849e-83, 8.596720656724814e-134, 9.608279946822695e-114, 3.120571946285724e-78, 2.300382871005299e-101, 8.710918971974274e-84, 5.880272838782444e-43, 1.334448469886454e-25, 1.415055017741087e-42, 1.065942355278784e-03, 2.833517653272718e-04, 7.724885620526748e+00, 1.451203405566223e-16, 2.273700246985242e+04, 5.607786830602999e+01, 3.900000000000193e+02, 1.000000000000051e+03, 9.999999999999649e+02, 5.725131016695603e+03, 1.075527850750875e-13, 8.999999999999774e+00, 8.740003691139118e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
30, -7.278131510363134e-03, 0.000000000000000e+00, 6.463985022717279e-83, 1.016013145491426e-133, 1.112846806234602e-113, 3.526453223039444e-78, 2.568758844271470e-101, 9.666167378443641e-84, 6.318151151035090e-43, 1.393229215937270e-25, 1.523783063458749e-42, 1.065942355278781e-03, 2.833517653272712e-04, 7.724885620526741e+00, 2.348845084602784e-16, 2.273700246985240e+04, 5.607786830626863e+01, 3.900000000000185e+02, 1.000000000000051e+03, 9.999999999999649e+02, 5.725131016695611e+03, 1.740795463888756e-13, 8.999999999999787e+00, 8.380121186209860e-16, 4.000000000000002e+00, 0.000000000000000e+00, 4.000000000000002e+00
33, -5.219729353472306e-03, 0.000000000000000e+00, 7.088606535492712e-83, 1.153887722267150e-133, 1.243748402673079e-113, 3.867218138960500e-78, 2.787578653013098e-101, 1.047386712086725e-83, 6.681553971059143e-43, 1.441524961660627e-25, 1.613852389765794e-42, 1.065942355278782e-03, 2.833517653272713e-04, 7.724885620526742e+00, 4.601623465249563e-16, 2.273700246985237e+04, 5.607786830623157e+01, 3.900000000000186e+02, 1.000000000000051e+03, 9.999999999999649e+02, 5.725131016695610e+03, 3.410393178903562e-13, 8.999999999999785e+00, 8.405827079419093e-16, 4.000000000000001e+00, 0.000000000000000e+00, 4.000000000000001e+00
42, -3.716075109627959e-03, 0.000000000000000e+00, 7.559704181022129e-83, 1.260671325426934e-133, 1.344177174098626e-113, 4.124227465720639e-78, 2.951445309665111e-101, 1.107466386081922e-83, 6.945576306983902e-43, 1.475870551280944e-25, 1.679425390899621e-42, 1.065942355278784e-03, 2.833517653272717e-04, 7.724885620526751e+00, 5.547523323230363e-16, 2.273700246985240e+04, 5.607786830625967e+01, 3.900000000000193e+02, 1.000000000000051e+03, 9.999999999999649e+02, 5.725131016695606e+03, 4.111426292096055e-13, 8.999999999999780e+00, 8.714297797929886e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
45, -2.617116624604489e-03, 0.000000000000000e+00, 7.908824356477941e-83, 1.341519231114789e-133, 1.419599766049877e-113, 4.314691466715483e-78, 3.071826530425763e-101, 1.151724250832113e-83, 7.137111589331823e-43, 1.500477064686276e-25, 1.727029819841053e-42, 1.065942355278786e-03, 2.833517653272723e-04, 7.724885620526764e+00, 3.639642372928041e-16, 2.273700246985241e+04, 5.607786830630652e+01, 3.900000000000201e+02, 1.000000000000051e+03, 9.999999999999649e+02, 5.725131016695604e+03, 2.697441808531141e-13, 8.999999999999776e+00, 9.099886196068375e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
