"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Density_5","Density_6","Density_7","Density_8","Density_9","Density_10","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","MassFrac_5","MassFrac_6","MassFrac_7","MassFrac_8","MassFrac_9","MassFrac_10","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient","Metric_xx","Metric_xy","Metric_yy"
0, -5.000000000000000e-02, 0.000000000000000e+00, 1.215530879516400e-86, 9.684819592818892e-139, 3.495473598809180e-118, 6.631284842403477e-82, 6.445605209119117e-105, 1.174891525332388e-86, 7.170319578388468e-45, 1.140093903915700e-26, 1.566103536212559e-44, 1.065942355278787e-03, 2.833517653272725e-04, 7.724885620526758e+00, 1.849024198385637e-17, 2.273700246985240e+04, 5.607786830601975e+01, 9.008642822592471e-84, 7.177693465727680e-136, 2.590594256231639e-115, 4.914632577977080e-79, 4.777020154971073e-102, 8.707453085207724e-84, 5.314126452405936e-42, 8.449558080069347e-24, 1.160683584324161e-41, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000098e+02, 1.000000000000023e+03, 1.000000000000000e+03, 5.725131016695593e+03, 1.370364081594838e-14, 8.999999999999883e+00, 4.447119525197260e-16, 4.000000000000000e+00, 3.841493679831421e-18, 4.000000000000000e+00
1, 0.000000000000000e+00, 0.000000000000000e+00, 4.220408146919668e-81, 4.139883376364603e-128, 6.538143107336823e-110, 2.302024987558330e-76, 9.622215376099348e-97, 4.710309888024204e-80, 1.020898708264005e-41, 3.001884956073925e-25, 2.212565533544202e-41, 1.400606216896177e-03, 3.723130449977179e-04, 1.010530066868751e+01, 3.632755591543495e-02, 2.980235733162242e+04, 7.368421387357989e+01, 2.380485246920538e-78, 2.335065936359805e-125, 3.687783898490982e-107, 1.298437575267373e-73, 5.427328577738253e-94, 2.656810148812126e-77, 5.758292158061640e-39, 1.693187625965102e-22, 1.247978732647228e-38, 7.900000000000000e-01, 2.100000000000000e-01, 5.856118461075038e+02, 1.142780749174849e+03, 1.000000453240195e+03, 5.699808719937234e+03, 2.049024831318521e+01, 8.381827321431317e+00, 8.846014767009880e-03, 1.059160964733548e+06, -7.327351035416633e+05, 9.329965809470487e+05
2, 1.931920337076797e-01, 5.173816881076040e-02, 1.237112056211409e-32, 1.628128074996543e-44, 6.737138376998071e-41, 6.584128604243189e-28, 3.127322689932018e-34, 1.759581933495631e-29, 1.469828136342900e-15, 9.536758351783013e-12, 4.690737730376421e-15, 7.263901291354052e-03, 1.930910460315296e-03, 4.541736499428077e+01, 1.358685714505835e+01, 1.469106611202204e+05, 7.548998222805328e+02, 1.345445766959676e-30, 1.770702997819595e-42, 7.327108538989634e-39, 7.160699724183502e-26, 3.401181852492546e-32, 1.913668250304282e-27, 1.598540758108043e-13, 1.037189080043294e-09, 5.101504905368485e-13, 7.899999999996044e-01, 2.099999989625367e-01, 1.068910238862284e+04, 4.021984707561210e+03, 1.262246963770503e+03, 4.939455659752716e+03, 1.477665611641301e+03, 4.041367960602273e+00, 4.657489494099175e-01, 1.098510889944916e+07, -1.824987600733165e+06, 2.272879096105913e+06
3, 3.346696875411197e-01, 1.931032050318336e-01, 5.072114847032198e-12, 4.216966738377341e-12, 1.950821600621529e-10, 2.762187240288748e-07, 2.194348226311749e-11, 1.510798506646955e-10, 7.151458303681359e-05, 1.666881321466457e-03, 3.503807026066027e-04, 6.964863920750982e-03, 6.008724378177233e-05, 2.793419299734751e+01, 2.576008269160991e+01, 1.428095043941954e+05, 7.529494003771259e+03, 5.565188080196317e-10, 4.626908840743949e-10, 2.140465948778923e-08, 3.030706513658664e-05, 2.407666419465157e-09, 1.657667086479649e-08, 7.846669822737913e-03, 1.828923110200253e-01, 3.844421052133756e-02, 7.641936123475696e-01, 6.592847814986530e-03, 1.340521333194283e+04, 4.340025099759560e+03, 4.888927226280725e+03, 3.064974721337475e+03, 2.826428609440927e+03, 2.851623247103018e+00, 5.885776941488289e-01, 5.781581794509341e+05, -3.351387653774550e+05, 3.630885199996987e+05
4, 4.846696875411197e-01, 1.931032050318336e-01, 1.237164930175058e-13, 6.840992564774818e-14, 8.386263824045418e-12, 6.734577182734132e-09, 5.985865547222167e-14, 1.528615428846585e-13, 3.003172143334321e-06, 1.006647119539857e-04, 1.604456134529652e-05, 4.101417829577706e-04, 2.591713153607522e-06, 2.430517178875942e+00, 5.072810299491423e-03, 8.599929203091953e+03, 3.484246666492656e+02, 2.323520878396216e-10, 1.284807600467499e-10, 1.575025173414123e-08, 1.264821715326133e-05, 1.124206096940954e-10, 2.870894395188725e-10, 5.640261056759696e-03, 1.890585113091840e-01, 3.013330911766976e-02, 7.702877543337608e-01, 4.867499454877921e-03, 5.263500325399143e+02, 2.908805836283184e+03, 4.184597681537878e+03, 4.564757109320763e+03, 9.527250858415346e+00, 3.807066271862672e+00, 6.166060110017493e-03, 7.663230884330880e+03, -6.518136515619664e+03, 7.373589850857678e+04
6, -3.640905996670419e-02, 0.000000000000000e+00, 1.044060938448624e-84, 4.293553515775474e-136, 8.444777150003104e-116, 5.695894276837332e-80, 4.670206342452543e-103, 3.958693508378105e-85, 7.364962991809025e-44, 4.279921245854498e-26, 1.653270187623953e-43, 1.065942355278786e-03, 2.833517653272720e-04, 7.724885620526746e+00, 9.296644255383545e-18, 2.273700246985235e+04, 5.607786830615809e+01, 7.737830636804870e-82, 3.182073834166678e-133, 6.258662971280119e-113, 4.221388198355839e-77, 3.461221887155962e-100, 2.933899620491930e-82, 5.458382186161851e-41, 3.171970573719020e-23, 1.225285252767098e-40, 7.900000000000000e-01, 2.099999999999999e-01, 3.900000000000093e+02, 1.000000000000023e+03, 1.000000000000000e+03, 5.725131016695594e+03, 6.890005754422026e-15, 8.999999999999881e+00, 4.190060593104933e-16, 4.000000000000000e+00, -1.046544831690132e-16, 4.000000000000000e+00
7, -2.648758523368654e-02, 0.000000000000000e+00, 3.330759404491919e-84, 2.054394638505170e-135, 3.386086600778037e-115, 1.817104340674113e-79, 1.374842881051763e-102, 1.025911424169934e-84, 1.424336916439668e-43, 6.352227296206067e-26, 3.230207634981951e-43, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526748e+00, 3.468587608968330e-17, 2.273700246985236e+04, 5.607786830615806e+01, 2.468519912467901e-81, 1.522569917952659e-132, 2.509524461024940e-112, 1.346707373080327e-76, 1.018934908301706e-99, 7.603319457948350e-82, 1.055616336488522e-40, 4.707815145116664e-23, 2.393998154776700e-40, 7.899999999999999e-01, 2.100000000000000e-01, 3.900000000000091e+02, 1.000000000000023e+03, 1.000000000000000e+03, 5.725131016695596e+03, 2.570668289438894e-14, 8.999999999999890e+00, 4.112942913477235e-16, 4.000000000000000e+00, 3.288617669073883e-17, 4.000000000000000e+00
8, -1.924472747190228e-02, 0.000000000000000e+00, 6.604308323473279e-84, 5.164843246602174e-135, 7.700869731129214e-115, 3.602999636030532e-79, 2.608318589268917e-102, 1.790860357677586e-84, 2.083223595227920e-43, 7.931406823946697e-26, 4.759595903904863e-43, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526750e+00, 1.868742318830391e-17, 2.273700246985237e+04, 5.607786830615803e+01, 4.894639517518128e-81, 3.827811273855030e-132, 5.707332162442273e-112, 2.670284840796747e-76, 1.933098610180965e-99, 1.327257215701194e-81, 1.543935872404311e-40, 5.878189716252656e-23, 3.527471017043352e-40, 7.899999999999999e-01, 2.100000000000000e-01, 3.900000000000091e+02, 1.000000000000023e+03, 1.000000000000000e+03, 5.725131016695598e+03, 1.384977737834517e-14, 8.999999999999890e+00, 4.112942913477235e-16, 4.000000000000000e+00, -3.003143484311076e-17, 4.000000000000000e+00
9, -1.395714581734536e-02, 0.000000000000000e+00, 1.077872204579653e-83, 9.989282747674620e-135, 1.389404519174622e-114, 5.880365667195769e-79, 4.134281447066947e-102, 2.659407111217220e-84, 2.720633300950188e-43, 9.243006625295593e-26, 6.254007868446223e-43, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526750e+00, 3.068851382735285e-17, 2.273700246985238e+04, 5.607786830615802e+01, 7.988415484205249e-81, 7.403339713055129e-132, 1.029726949785083e-111, 4.358105158387933e-76, 3.064032803470579e-99, 1.970961757413353e-81, 2.016338216702650e-40, 6.850253391116791e-23, 4.635021951801831e-40, 7.899999999999999e-01, 2.100000000000000e-01, 3.900000000000091e+02, 1.000000000000023e+03, 1.000000000000000e+03, 5.725131016695598e+03, 2.274412476767379e-14, 8.999999999999890e+00, 4.112942913477235e-16, 4.000000000000000e+00, -9.080345436300496e-17, 4.000000000000000e+00
10, -1.009678458521239e-02, 0.000000000000000e+00, 1.402820433836521e-83, 1.422009773047426e-134, 1.906829409608340e-114, 7.653132548423609e-79, 5.301491454327318e-102, 3.289435492454318e-84, 3.140735033260042e-43, 1.003196262023555e-25, 7.245567059378331e-43, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526750e+00, 3.328228295705484e-17, 2.273700246985238e+04, 5.607786830615803e+01, 1.039669863236654e-80, 1.053891624762070e-131, 1.413205157043045e-111, 5.671952787421975e-76, 3.929085121890301e-99, 2.437893593560472e-81, 2.327687481399037e-40, 7.434970972621991e-23, 5.369894486847588e-40, 7.899999999999999e-01, 2.100000000000000e-01, 3.900000000000091e+02, 1.000000000000023e+03, 1.000000000000000e+03, 5.725131016695598e+03, 2.466644036224331e-14, 8.999999999999890e+00, 4.112942913477235e-16, 4.000000000000001e+00, -1.358037386119507e-17, 4.000000000000001e+00
