PointID,x,y,Density_0,Density_1,Density_2,Density_3,Density_4,Density_5,Density_6,Density_7,Density_8,Density_9,Density_10,Momentum_x,Momentum_y,Energy,Energy_ve,Pressure,Temperature_tr,Temperature_ve,Velocity_x,Velocity_y,Mach,Pressure_Coefficient,Metric_xx,Metric_xy,Metric_yy,
0,-5.00E-02,0.00E+00,1.47E-83,1.25E-134,2.12E-114,8.04E-79,7.12E-102,1.87E-84,1.67E-43,5.41E-26,4.03E-43,1.07E-03,2.83E-04,7.72E+00,-3.36E-16,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,-2.49E-13,9.00E+00,2.67E-15,4.00E+00,0.00E+00,4.00E+00,1.00E+00
2,-3.64E-02,0.00E+00,2.38E-83,2.34E-134,3.28E-114,1.30E-78,1.10E-101,3.43E-84,2.92E-43,8.27E-26,7.02E-43,1.07E-03,2.83E-04,7.72E+00,-9.60E-16,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,-7.12E-13,9.00E+00,2.68E-15,4.00E+00,0.00E+00,4.00E+00,1.00E+00
3,-2.65E-02,0.00E+00,6.81E-83,9.58E-134,1.12E-113,3.71E-78,2.97E-101,8.14E-84,5.18E-43,1.15E-25,1.28E-42,1.07E-03,2.83E-04,7.72E+00,-1.87E-15,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,-1.38E-12,9.00E+00,2.70E-15,4.00E+00,0.00E+00,4.00E+00,1.00E+00
6,-1.92E-02,0.00E+00,1.09E-82,1.83E-133,1.95E-113,5.92E-78,4.56E-101,1.23E-83,6.95E-43,1.38E-25,1.73E-42,1.07E-03,2.83E-04,7.72E+00,-2.99E-15,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,-2.22E-12,9.00E+00,2.70E-15,4.00E+00,0.00E+00,4.00E+00,1.00E+00
15,-1.40E-02,0.00E+00,1.37E-82,2.51E-133,2.55E-113,7.47E-78,5.63E-101,1.53E-83,8.11E-43,1.52E-25,2.03E-42,1.07E-03,2.83E-04,7.72E+00,-3.16E-15,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,-2.34E-12,9.00E+00,2.74E-15,4.00E+00,0.00E+00,4.00E+00,1.00E+00
17,-1.01E-02,0.00E+00,1.55E-82,3.00E-133,2.97E-113,8.48E-78,6.31E-101,1.72E-83,8.85E-43,1.61E-25,2.22E-42,1.07E-03,2.83E-04,7.72E+00,-3.27E-15,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,-2.42E-12,9.00E+00,2.74E-15,4.00E+00,0.00E+00,4.00E+00,1.00E+00
19,-7.28E-03,0.00E+00,1.70E-82,3.39E-133,3.30E-113,9.26E-78,6.82E-101,1.87E-83,9.40E-43,1.67E-25,2.36E-42,1.07E-03,2.83E-04,7.72E+00,-2.71E-15,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,-2.01E-12,9.00E+00,2.76E-15,4.35E+00,-5.09E-01,4.74E+00,1.00E+00
22,-5.22E-03,0.00E+00,1.82E-82,3.74E-133,3.59E-113,9.93E-78,7.26E-101,1.99E-83,9.85E-43,1.72E-25,2.48E-42,1.07E-03,2.83E-04,7.72E+00,-7.03E-15,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,-5.21E-12,9.00E+00,2.80E-15,5.77E+00,-3.22E+00,9.85E+00,1.00E+00
25,-3.72E-03,0.00E+00,1.91E-82,4.01E-133,3.81E-113,1.04E-77,7.58E-101,2.08E-83,1.02E-42,1.75E-25,2.56E-42,1.07E-03,2.83E-04,7.72E+00,-1.07E-14,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,-7.95E-12,9.00E+00,2.76E-15,4.00E+00,0.00E+00,4.00E+00,1.00E+00
26,-2.62E-03,0.00E+00,1.98E-82,4.20E-133,3.96E-113,1.08E-77,7.80E-101,2.14E-83,1.04E-42,1.78E-25,2.62E-42,1.07E-03,2.83E-04,7.72E+00,-9.65E-15,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,-7.15E-12,9.00E+00,1.72E-15,7.31E+00,-4.42E+00,9.91E+00,1.00E+00
29,-1.74E-03,0.00E+00,2.03E-82,4.37E-133,4.10E-113,1.11E-77,8.00E-101,2.20E-83,1.06E-42,1.80E-25,2.67E-42,1.07E-03,2.83E-04,7.72E+00,2.01E-15,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,1.49E-12,9.00E+00,1.78E-15,4.69E+00,-3.18E+00,1.87E+01,1.00E+00
30,-1.28E-03,0.00E+00,2.06E-82,4.47E-133,4.18E-113,1.13E-77,8.10E-101,2.23E-83,1.07E-42,1.81E-25,2.70E-42,1.07E-03,2.83E-04,7.72E+00,3.81E-15,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,2.82E-12,9.00E+00,2.93E-16,1.95E+01,-2.29E+01,3.80E+01,1.00E+00
32,-8.70E-04,0.00E+00,2.09E-82,4.54E-133,4.24E-113,1.14E-77,8.18E-101,2.26E-83,1.08E-42,1.82E-25,2.72E-42,1.07E-03,2.83E-04,7.72E+00,2.70E-15,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,2.00E-12,9.00E+00,2.29E-16,2.17E+01,-3.49E+01,7.28E+01,1.00E+00
33,-6.32E-04,0.00E+00,2.10E-82,4.59E-133,4.28E-113,1.15E-77,8.24E-101,2.27E-83,1.08E-42,1.83E-25,2.73E-42,1.07E-03,2.83E-04,7.72E+00,8.14E-15,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,6.03E-12,9.00E+00,9.41E-16,2.39E+01,-3.01E+01,4.95E+01,1.00E+00
34,-4.20E-04,0.00E+00,2.12E-82,4.63E-133,4.31E-113,1.15E-77,8.28E-101,2.29E-83,1.09E-42,1.83E-25,2.74E-42,1.07E-03,2.83E-04,7.72E+00,1.14E-14,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,8.45E-12,9.00E+00,2.31E-15,8.39E+01,-1.62E+02,3.34E+02,1.00E+00
25026,-3.10E-04,0.00E+00,2.13E-82,4.67E-133,4.34E-113,1.16E-77,8.32E-101,2.30E-83,1.09E-42,1.83E-25,2.75E-42,1.07E-03,2.83E-04,7.72E+00,8.12E-15,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,6.01E-12,9.00E+00,2.00E-15,8.91E+07,-2.03E+08,4.65E+08,1.00E+00
37,-2.02E-04,0.00E+00,2.13E-82,4.69E-133,4.35E-113,1.16E-77,8.34E-101,2.30E-83,1.09E-42,1.84E-25,2.76E-42,1.07E-03,2.83E-04,7.72E+00,7.03E-15,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,5.21E-12,9.00E+00,-1.10E-14,1.26E+08,-2.87E+08,6.56E+08,1.00E+00
25027,-9.84E-05,0.00E+00,2.14E-82,4.71E-133,4.37E-113,1.17E-77,8.37E-101,2.31E-83,1.10E-42,1.84E-25,2.77E-42,1.07E-03,2.83E-04,7.72E+00,5.58E-15,2.27E+04,5.61E+01,3.90E+02,1.00E+03,1.00E+03,5.73E+03,4.14E-12,9.00E+00,1.87E-15,2.53E+08,-5.88E+08,1.36E+09,1.00E+00
38,0.00E+00,0.00E+00,5.97E-77,9.55E-120,1.34E-103,3.25E-72,5.29E-90,9.00E-75,2.65E-39,2.07E-24,5.69E-39,1.76E-03,4.67E-04,1.26E+01,3.45E-01,3.73E+04,9.24E+01,8.51E+02,1.32E+03,1.00E+03,5.67E+03,1.55E+02,7.74E+00,2.08E-02,1.55E+08,-3.79E+08,9.29E+08,2.18E+00
39,4.26E-04,1.14E-04,1.34E-46,3.17E-67,9.01E-61,7.15E-42,8.40E-51,1.80E-43,6.77E-23,2.01E-16,1.53E-22,4.64E-03,1.23E-03,3.09E+01,6.86E+00,9.59E+04,2.45E+02,4.80E+03,2.82E+03,1.00E+03,5.27E+03,1.17E+03,5.04E+00,1.99E-01,6.11E+07,-1.70E+08,4.82E+08,1.23E+01
47,8.91E-04,2.39E-04,3.33E-45,5.86E-65,7.49E-59,1.78E-40,3.53E-49,4.18E-42,3.90E-22,5.57E-16,8.94E-22,4.91E-03,1.31E-03,3.23E+01,8.71E+00,1.01E+05,2.60E+02,5.25E+03,2.92E+03,1.00E+03,5.19E+03,1.40E+03,4.94E+00,2.20E-01,1.17E+08,-2.42E+08,5.04E+08,1.35E+01
48,1.30E-03,3.49E-04,7.74E-45,1.50E-64,1.94E-58,4.16E-40,6.73E-49,6.79E-42,6.03E-22,7.13E-16,1.42E-21,4.60E-03,1.22E-03,3.03E+01,8.22E+00,9.50E+04,2.44E+02,4.83E+03,2.87E+03,1.00E+03,5.20E+03,1.41E+03,5.00E+00,2.01E-01,1.04E+08,-2.70E+08,7.04E+08,1.24E+01
56,1.78E-03,4.77E-04,2.49E-44,7.34E-64,7.91E-58,1.34E-39,1.88E-48,1.65E-41,1.12E-21,1.02E-15,2.68E-21,4.34E-03,1.15E-03,2.86E+01,7.65E+00,8.95E+04,2.31E+02,4.53E+03,2.86E+03,1.00E+03,5.20E+03,1.39E+03,5.01E+00,1.87E-01,3.60E+07,-9.56E+07,2.58E+08,1.16E+01
110,2.23E-03,5.97E-04,5.43E-44,2.19E-63,2.06E-57,2.93E-39,3.89E-48,3.06E-41,1.67E-21,1.28E-15,4.09E-21,4.24E-03,1.13E-03,2.79E+01,7.49E+00,8.76E+04,2.26E+02,4.44E+03,2.86E+03,1.00E+03,5.20E+03,1.40E+03,5.01E+00,1.83E-01,2.14E+06,-7.12E+06,3.29E+07,1.14E+01
111,2.67E-03,7.16E-04,1.04E-43,5.35E-63,4.56E-57,5.61E-39,7.08E-48,5.02E-41,2.32E-21,1.54E-15,5.80E-21,4.20E-03,1.12E-03,2.76E+01,7.40E+00,8.66E+04,2.24E+02,4.39E+03,2.86E+03,1.01E+03,5.20E+03,1.39E+03,5.01E+00,1.81E-01,1.54E+07,-3.94E+07,1.01E+08,1.12E+01
114,3.15E-03,8.42E-04,1.79E-43,1.13E-62,8.90E-57,9.71E-39,1.17E-47,7.63E-41,3.07E-21,1.81E-15,7.80E-21,4.18E-03,1.11E-03,2.75E+01,7.37E+00,8.63E+04,2.24E+02,4.37E+03,2.86E+03,1.01E+03,5.20E+03,1.39E+03,5.01E+00,1.80E-01,4.86E+06,-1.27E+07,3.43E+07,1.12E+01
