x,UB,LB,M
-0.05,1.968651974015816e-104,1.4911281727057795e-105,6.461555415058377e-105
-0.03640905996670419,4.1956976040676904e-104,3.547416082121039e-105,1.5372136355857833e-104
-0.02648758523368654,8.548851648771908e-104,7.702705341213483e-105,3.337838981192509e-104
-0.01924472747190228,1.423988564062001e-103,1.2890847296605322e-104,5.586033828528972e-104
-0.01395714581734536,2.0138011556605405e-103,1.8705986581971392e-104,8.105927518854271e-104
-0.01009678458521239,2.6317204752149235e-103,2.450031005189564e-104,1.061680102248811e-103
-0.007278131510363134,3.1658461622371336e-103,2.951783372696264e-104,1.279106128168381e-103
-0.005219729353472306,3.629345795358476e-103,3.391551770813444e-104,1.469672434019159e-103
-0.003716075109627959,4.0056212235066744e-103,3.734919206291858e-104,1.6184649893931382e-103
-0.002617116624604489,4.35534067715397e-103,4.040410539990142e-104,1.7508445673290612e-103
-0.001739648995067414,4.656042926271776e-103,4.308811181346953e-104,1.8671515119170127e-103
-0.0008698244975333391,7.482467222931357e-98,3.388351342692286e-99,1.4682855818333237e-98
0.0,2.2562444017148916e-47,3.0505203832311735e-48,1.3218921660668416e-47
0.0008914882248994977,1.1302197859636601e-42,1.5924890970208547e-43,6.900786087090371e-43
0.001782976449799005,4.56315330398636e-35,3.856565798546601e-36,1.6711785127035272e-35
0.002674464674698533,1.0039489935996898e-34,8.962330475794308e-36,3.8836765395108657e-35
0.003565952899598004,1.9708267372614194e-34,1.759559314534041e-35,7.624757029647509e-35
0.004457441124497438,3.0745287458867037e-34,2.7702757582870365e-35,1.2004528285910488e-34
0.00534892934939678,5.304608337042914e-34,4.136154743226619e-35,1.7923337220648686e-34
0.006240417574296114,6.942520040292514e-34,3.9457738395833093e-35,1.7098353304861002e-34
0.007131905799195436,1.0312922204534393e-33,5.416870168668996e-35,2.347310406423232e-34
0.008023394024094811,1.245758097584671e-33,5.747061968578892e-35,2.490393519717519e-34
0.008914882248994234,2.0390568258783104e-33,1.1733643146302214e-34,5.08457869673096e-34
0.009806370473893575,4.461612838158879e-32,1.4496328111533646e-33,6.28174218166458e-33
0.0106978586987929,2.2691754117135836e-31,6.81352146783501e-33,2.9525259693951703e-32
0.01158934692369223,8.81885538585066e-31,2.576122323465149e-32,1.1163196735015645e-31
0.01248083514859175,3.617534288521836e-30,1.037846033994711e-31,4.497332813977081e-31
0.01337232337349147,1.2379795654734631e-29,3.5106591134694145e-31,1.5212856158367462e-30
0.01426381159839122,2.938028365385943e-29,8.274269392278627e-31,3.5855167366540706e-30
0.01515529982329097,1.2822893742353974e-28,3.5718591059198355e-30,1.547805612565262e-29
0.0160467880481907,4.394561224191064e-28,1.2145357927476667e-29,5.262988435239889e-29
0.01693827627309051,8.203139009284814e-28,2.2596023093710208e-29,9.791610007274422e-29
0.01782976449799041,1.7563454530802247e-27,4.819389309999374e-29,2.088402034333062e-28
