x,UB,LB,M
-0.05,2.093384145301106e-84,9.017712518015058e-86,4.508856259007529e-85
-0.03640905996670419,3.9004775257884873e-84,1.9157011821361777e-85,9.57850591068089e-85
-0.02648758523368654,7.604690179607149e-84,4.028363371523471e-85,2.0141816857617354e-84
-0.01924472747190228,1.192725964856874e-83,6.344828719814489e-85,3.1724143599072443e-84
-0.01395714581734536,1.6316020401503083e-83,8.939614385367315e-85,4.469807192683659e-84
-0.01009678458521239,2.0762952403197135e-83,1.136915440410481e-84,5.684577202052406e-84
-0.007278131510363134,2.4529828334355543e-83,1.3443901364941327e-84,6.721950682470662e-84
-0.005219729353472306,2.775505668373701e-83,1.524258944273781e-84,7.621294721368905e-84
-0.003716075109627959,3.032392944995472e-83,1.6601669482557362e-84,8.30083474127868e-84
-0.002617116624604489,3.265243314279852e-83,1.7768104047386541e-84,8.88405202369327e-84
-0.001739648995067414,3.4661382230988215e-83,1.8804270673637986e-84,9.402135336818992e-84
-0.0008698244975333391,9.102078780359461e-80,2.293691942101686e-81,1.146845971050843e-80
0.0,2.5872566622402988e-39,1.896814406032974e-40,9.48407203016487e-40
0.0008914882248994977,2.5338509402565455e-35,2.060881647516208e-36,1.030440823758104e-35
0.001782976449799005,8.967292095292119e-29,3.944847356663087e-30,1.9724236783315436e-29
0.002674464674698533,1.626450648072654e-28,7.490219035232961e-30,3.745109517616481e-29
0.003565952899598004,3.228995807740686e-28,1.4940488465229795e-29,7.470244232614898e-29
0.004457441124497438,4.738490236848686e-28,2.2859733061344316e-29,1.1429866530672156e-28
0.00534892934939678,7.009059138215666e-28,3.2788653618922604e-29,1.63943268094613e-28
0.006240417574296114,1.006488928718773e-27,4.068312005382474e-29,2.0341560026912366e-28
0.007131905799195436,1.4277305866493435e-27,5.315503363539734e-29,2.657751681769867e-28
0.008023394024094811,1.8909607500711783e-27,6.791166431613397e-29,3.3955832158066983e-28
0.008914882248994234,2.8004257098462888e-27,1.103793719745458e-28,5.518968598727292e-28
0.009806370473893575,2.2593551112518886e-26,5.359565879519726e-28,2.679782939759863e-27
0.0106978586987929,9.349473991195134e-26,1.851105022289922e-27,9.255525111449614e-27
0.01158934692369223,3.1006880380421603e-25,5.720558528430858e-27,2.860279264215428e-26
0.01248083514859175,1.0197252878582792e-24,1.8040077823954068e-26,9.020038911977032e-26
0.01337232337349147,2.9701492959940713e-24,5.1302147301719024e-26,2.565107365085951e-25
0.01426381159839122,6.593161564597305e-24,1.1243623293295429e-25,5.621811646647714e-25
0.01515529982329097,2.1763815366052052e-23,3.6420790336219533e-25,1.8210395168109763e-24
0.0160467880481907,6.34214851524748e-23,1.0471991967988939e-24,5.235995983994471e-24
0.01693827627309051,1.1946958185725386e-22,1.960876621107505e-24,9.804383105537523e-24
0.01782976449799041,2.3816264746558564e-22,3.884572247277686e-24,1.9422861236388432e-23
0.01872125272289031,4.268667189687345e-22,6.918160206526148e-24,3.459080103263075e-23
0.01961274094779022,6.872827623586632e-22,1.1084828014954285e-23,5.542414007477144e-23
0.02050422917269014,1.0187835319737927e-21,1.6369531842016428e-23,8.184765921008212e-23
0.02139571739759007,1.5015125983097388e-21,2.4026386215933507e-23,1.2013193107966756e-22
0.02228720562248999,2.3553853279489518e-21,3.751010182009662e-23,1.8755050910048306e-22
0.02317869384738967,3.437390841712064e-21,5.451563043697462e-23,2.725781521848732e-22
0.02407018207228917,4.87213665672559e-21,7.705473613421974e-23,3.8527368067109873e-22
0.02496167029718797,6.657412118637377e-21,1.0495738608053097e-22,5.247869304026548e-22
0.02585315852208661,8.467284220504175e-21,1.3316784034861252e-22,6.658392017430625e-22
0.02674464674698497,1.0906862225590397e-20,1.7108283509798021e-22,8.55414175489901e-22
0.02763613497188353,1.5015226287238964e-20,2.3470773060437437e-22,1.1735386530218716e-21
0.02852762319678226,1.8963092743871308e-20,2.956735273503534e-22,1.4783676367517666e-21
0.02941911142168101,2.410006118637919e-20,3.7490623245691507e-22,1.874531162284575e-21
0.03031059964657972,2.8693495455470033e-20,4.455144451895637e-22,2.2275722259478177e-21
0.03120208876295687,3.398834217347932e-20,5.267264976877759e-22,2.6336324884388788e-21
0.03211603615231537,4.147070288585658e-20,6.4131778112955595e-22,3.2065889056477794e-21
0.03306263821957166,5.128069341105296e-20,7.913354655188723e-22,3.956677327594362e-21
0.03404330350149454,6.281810932704139e-20,9.674868930455608e-22,4.8374344652278046e-21
0.03505990866283369,7.758631664199618e-20,1.1925511074548198e-21,5.962755537274098e-21
0.03611437659401692,9.246620515619512e-20,1.4187113829151897e-21,7.093556914575947e-21
0.03720781251492448,1.112212847856394e-19,1.7032817401858115e-21,8.516408700929054e-21
0.03834153283913298,1.3458078945721081e-19,2.057088527678864e-21,1.0285442638394324e-20
0.03951707266937012,1.6293287081700554e-19,2.48565866529217e-21,1.2428293326460852e-20
0.04073611831285641,2.0034424112123276e-19,3.0501159151108457e-21,1.5250579575554228e-20
0.04199973579341539,2.413758120876866e-19,3.6678944941135786e-21,1.83394724705679e-20
0.04330924441866192,2.982258869643978e-19,4.5222573906992746e-21,2.261128695349637e-20
0.04466648738017173,3.6624910778381835e-19,5.541983791794539e-21,2.77099189589727e-20
0.04607394334706959,4.389192209015569e-19,6.629218970984457e-21,3.314609485492228e-20
0.04753441116795683,5.276565128968315e-19,7.954326521625542e-21,3.977163260812772e-20
0.04904722907946974,6.300705272593037e-19,9.48014435628414e-21,4.74007217814207e-20
0.05061579951229327,7.455488510051729e-19,1.119828396946341e-20,5.599141984731705e-20
0.0522429796984596,9.576202677128526e-19,1.434991586960049e-20,7.174957934800247e-20
0.05392886588664213,1.1825086336686595e-18,1.7685664808999248e-20,8.842832404499624e-20
0.05567779462008837,1.5838286452516883e-18,2.3630684283813975e-20,1.1815342141906987e-19
0.05749073580602473,1.9646320937322934e-18,2.9257284893217775e-20,1.462864244660889e-19
0.05936984105820705,2.458244590830529e-18,3.6538270438017095e-20,1.8269135219008543e-19
0.06131888829774556,3.1284131491811584e-18,4.640362979665228e-20,2.3201814898326144e-19
0.0633395978503255,3.872230581855381e-18,5.732733150418901e-20,2.866366575209451e-19
0.06543449253022506,5.060655055163934e-18,7.476131800002118e-20,3.7380659000010596e-19
0.0676064475245371,6.198106050907942e-18,9.140955204831297e-20,4.570477602415649e-19
0.06985839957815661,7.754529762649165e-18,1.1415888503453892e-19,5.707944251726944e-19
0.07219325844631382,9.715036763721135e-18,1.427509620574942e-19,7.137548102874709e-19
0.07461397849477001,1.2073061679640039e-17,1.770856329645087e-19,8.854281648225435e-19
0.07712375765598738,1.5435731026387524e-17,2.259946000752536e-19,1.1299730003762682e-18
0.07972633713574356,1.9747980296653424e-17,2.8860894598705877e-19,1.443044729935294e-18
0.08242461639642955,2.56822889025159e-17,3.746323371330248e-19,1.873161685665124e-18
0.08522212594146307,3.3604332757106245e-17,4.893165174645074e-19,2.4465825873225375e-18
0.08812282375538115,4.3584250245051816e-17,6.335828537907272e-19,3.1679142689536354e-18
0.09113047082487052,5.808704820542019e-17,8.429386423740969e-19,4.2146932118704854e-18
0.09424866669024892,7.760655152732718e-17,1.1242920564008919e-18,5.62146028200446e-18
0.09748170013635064,1.0461028083358375e-16,1.5129412116429621e-18,7.56470605821481e-18
0.1008339308239883,1.3622078906907652e-16,1.967370929584582e-18,9.836854647922906e-18
0.1043097319128833,1.8550084535531612e-16,2.6748060990758876e-18,1.3374030495379436e-17
0.1079134959989725,2.4504393293153706e-16,3.52834149755357e-18,1.7641707487767857e-17
0.1116309809947942,3.3751879628395773e-16,4.852605894179451e-18,2.4263029470897258e-17
0.1154556628374381,4.596195403453779e-16,6.5989566909298636e-18,3.2994783454649315e-17
0.1194211400542905,6.471391950801815e-16,9.277587912260961e-18,4.63879395613048e-17
0.1235329691157358,8.394304673243541e-16,1.2021005363989598e-17,6.0105026819948e-17
0.1277962626229142,1.1937938514160754e-15,1.7071259734040014e-17,8.535629867020008e-17
0.1322166984316482,1.5548757721048001e-15,2.221029253001938e-17,1.1105146265009692e-16
0.1368001042322728,2.0070565954114605e-15,2.8642539359051174e-17,1.4321269679525592e-16
0.141552410802003,2.750040756036226e-15,3.9199679743034856e-17,1.959983987151743e-16
0.1464799102645229,3.3280252506621653e-15,4.740051757295464e-17,2.3700258786477316e-16
0.1515891417382304,4.476531733401268e-15,6.36921370710529e-17,3.184606853552645e-16
0.1568867156612559,5.639949810162309e-15,8.017109777973888e-17,4.0085548889869436e-16
0.1623795444791689,7.153333123760368e-15,1.0159880504809639e-16,5.079940252404819e-16
0.1680748718576803,8.908068764529583e-15,1.2643161112647066e-16,6.321580556323535e-16
0.1736973472536992,1.1113005194007744e-14,1.5761747804240552e-16,7.880873902120277e-16
0.1778935653319111,1.3130494264543721e-14,1.861462637067761e-16,9.307313185338803e-16
0.1808818454983137,1.5468380003767304e-14,2.191960463714908e-16,1.095980231857454e-15
0.1830102782198245,1.7263862120665874e-14,2.445733182328618e-16,1.2228665911643087e-15
0.1845266076094257,1.8836008150740632e-14,2.6678707239189576e-16,1.333935361959479e-15
0.1856071385576787,2.0082448650871073e-14,2.843968830604768e-16,1.4219844153023839e-15
0.186456344897294,2.1246847145810614e-14,3.008447441269632e-16,1.5042237206348158e-15
0.1872983059985922,2.2392061742648355e-14,3.1701952324112107e-16,1.5850976162056054e-15
0.1881402670998902,2.365304003144464e-14,3.3482733461716466e-16,1.6741366730858233e-15
0.1889822282011882,2.4966985601604716e-14,3.533808253101029e-16,1.7669041265505142e-15
0.1898241893024864,2.6374032694405757e-14,3.7324661719101454e-16,1.8662330859550725e-15
0.1906661504037847,2.7833519331558094e-14,3.93850575865876e-16,1.9692528793293796e-15
0.191508111505083,2.932458934680446e-14,4.148976116972458e-16,2.0744880584862294e-15
0.1923500726063814,1.5523426121230998e-10,2.362761186891788e-12,1.181380593445894e-11
0.1931920337076797,0.9133977035066856,0.10097041302007914,0.5048520651003956
0.1938060252885054,49724363297.73253,3537660852.777483,17688304263.887417
0.1944200168693315,735111670918695.0,36332659886341.22,181663299431706.12
0.1950340084501591,3618700796701017.0,143130779483918.12,715653897419590.8
0.1956480000309866,1.0883655928660218e+16,374815528671514.25,1874077643357570.8
0.1962619916118142,1.6838727978297076e+16,623909774368893.5,3119548871844466.5
0.1968759831926407,1.9127172512306188e+16,813542276711174.5,4067711383555872.5
0.1974899747734663,1.931622652783843e+16,843591197343483.0,4217955986717414.0
0.198103966354292,1.9220035482519936e+16,900861530667585.0,4504307653337926.0
0.1987179579351177,1.8574477173477764e+16,928122301197167.0,4640611505985836.0
0.1993319495159453,1.7708311745226256e+16,911055741941045.5,4555278709705227.0
0.1999459410967732,1.6863036882097452e+16,886040483416853.5,4430202417084268.0
0.2005599326776022,1.6074841267060942e+16,859149523499189.0,4295747617495944.5
0.2011739242584307,1.55785609876719e+16,843333884567908.0,4216669422839539.5
0.2017879158392583,1.5113817563531428e+16,825669176453471.5,4128345882267357.5
0.202401907420085,1.4716618853086014e+16,809096159443308.0,4045480797216539.5
0.203015899000911,1.42741787257823e+16,789163346481183.0,3945816732405916.0
0.2036298905817386,1.386490736201471e+16,770402355348682.5,3852011776743412.0
0.2042438821625666,1.3422075869739308e+16,748682596557692.5,3743412982788462.0
0.2048578737433964,1.3007367539304974e+16,727097563971604.5,3635487819858023.5
0.2054718653242259,1.260413151257308e+16,707611186149369.5,3538055930746846.5
0.2060858569050542,1.2240244128514046e+16,686144926257296.5,3430724631286483.0
0.2066998484858817,1.1872557676038166e+16,664112750552066.0,3320563752760330.5
0.2073138400667077,1.1440660235924166e+16,640903617508055.0,3204518087540276.0
0.2079278316475338,1.1051334077431906e+16,620944798574184.5,3104723992870922.5
0.2085418232283599,1.072355180654482e+16,602696095149390.5,3013480475746953.5
0.2091558148091877,1.0389000886504e+16,584331685221717.5,2921658426108587.0
0.2097698063900161,1.0081949298181576e+16,566594755566533.0,2832973777832666.0
0.2103837979708436,9818040002039700.0,549831230351571.5,2749156151757858.0
0.2109977895516708,9600095388818546.0,535225146824556.0,2676125734122780.5
0.2116117811324961,9400653507919170.0,521992214684334.5,2609961073421672.0
0.2122257727133214,9215226445169926.0,509180315603296.0,2545901578016480.5
0.2128397642941467,9032972584840776.0,497081072264402.0,2485405361322010.0
0.2134537558749734,8868880651690632.0,486440372414722.5,2432201862073612.0
0.214067747455801,8734640759915967.0,476701652579872.25,2383508262899361.0
0.2146817390366291,8585630701299580.0,466528819049004.75,2332644095245023.5
0.2152957306174574,8396773445841493.0,455477208929168.75,2277386044645844.0
