x,UB,LB,M
-0.05,2.944081602217641e-73,3.0080525386393464e-74,1.3034894334103832e-73
-0.03640905996670419,4.737923918610179e-73,5.485068388630985e-74,2.3768629684067603e-73
-0.02648758523368654,8.548884719473027e-73,1.0635578720698835e-73,4.6087507789694954e-73
-0.01924472747190228,1.2221804606322957e-72,1.538397962062842e-73,6.666391168938981e-73
-0.01395714581734536,1.5600138391051063e-72,2.0237189841154765e-73,8.769448931167066e-73
-0.01009678458521239,1.874662949231861e-72,2.4318731956827953e-73,1.0538117181292113e-72
-0.007278131510363134,2.1274514744110477e-72,2.767078662644887e-73,1.1990674204794506e-72
-0.005219729353472306,2.3356836196697977e-72,3.046694419439109e-73,1.3202342484236138e-72
-0.003716075109627959,2.49530258191858e-72,3.248059370813315e-73,1.4074923940191031e-72
-0.002617116624604489,2.6367480860691905e-72,3.4164604891405956e-73,1.480466211960925e-72
-0.001739648995067414,2.756197320624692e-72,3.563629062565181e-73,1.5442392604449116e-72
-0.0008698244975333391,4.105917861940665e-68,2.281660140674464e-69,9.887193942922675e-69
0.0,1.0709519436720972e-29,1.8145781385922155e-30,7.8631719338996e-30
0.0008914882248994977,3.106749824161112e-26,5.939326631313859e-27,2.573708206902672e-26
0.001782976449799005,1.2894441834490477e-20,1.4371962906688072e-21,6.227850592898165e-21
0.002674464674698533,2.0032220008153572e-20,2.296341156822901e-21,9.950811679565906e-21
0.003565952899598004,3.869123796222231e-20,4.440448865298839e-21,1.9241945082961633e-20
0.004457441124497438,5.3455253391423195e-20,6.203575228097677e-21,2.6882159321756595e-20
0.00534892934939678,7.860714082702052e-20,8.22839450051746e-21,3.5656376168909e-20
0.006240417574296114,1.0438294523267787e-19,8.951491710763362e-21,3.8789797413307896e-20
0.007131905799195436,1.4236342359257505e-19,1.0928835316799628e-20,4.735828637279837e-20
0.008023394024094811,1.7186178069052838e-19,1.2299632024090272e-20,5.32984054377245e-20
0.008914882248994234,2.200220044283873e-19,1.774149444504346e-20,7.687980926185501e-20
0.009806370473893575,9.524843883473883e-19,6.18882378687133e-20,2.681823640977576e-19
0.0106978586987929,3.03543349359148e-18,1.6334623402885316e-19,7.078336807916968e-19
0.01158934692369223,8.493594128288422e-18,4.1766094440649437e-19,1.809864092428142e-18
0.01248083514859175,2.3513044023612845e-17,1.0918362094102394e-18,4.731290240777705e-18
0.01337232337349147,5.792769527123236e-17,2.604638766324737e-18,1.1286767987407192e-17
0.01426381159839122,1.1378061185087038e-16,5.030821762736605e-18,2.180022763852529e-17
0.01515529982329097,3.176226180672476e-16,1.3709551611048921e-17,5.940805698121199e-17
0.0160467880481907,7.719442288176851e-16,3.27826194126242e-17,1.4205801745470484e-16
0.01693827627309051,1.3206241241210597e-15,5.56799157091855e-17,2.412796347398038e-16
0.01782976449799041,2.386697798903953e-15,9.985758546619239e-17,4.327162036868337e-16
0.01872125272289031,3.8232422333342095e-15,1.5880182404468442e-16,6.881412375269656e-16
0.01961274094779022,5.610264997324421e-15,2.317529550429451e-16,1.0042628051860956e-15
