"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient"
0, -5.000000000000000e-02, 0.000000000000000e+00, 9.626451292098734e-45, 1.317845794974646e-26, 2.109549565046376e-44, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526752e+00, 1.308160263175729e-17, 2.273700247243776e+04, 5.607787089148808e+01, 7.134435068741615e-42, 9.766927572342152e-24, 1.563446792533889e-41, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000063e+02, 1.000000000000016e+03, 9.999999999999974e+02, 5.725131016695599e+03, 9.695145359324237e-15, 8.999999999999924e+00, 2.827648253015597e-16
1, 0.000000000000000e+00, 0.000000000000000e+00, 9.691534290191131e-43, 1.673741180456795e-25, 2.182603740245634e-42, 1.340667114327012e-03, 3.563798658337626e-04, 9.681400871588753e+00, 2.491404378472328e-02, 2.854085500058443e+04, 7.053080508395746e+01, 5.710822625118472e-40, 9.862668506078884e-23, 1.286118631812337e-39, 7.900000000000000e-01, 2.099999999999999e-01, 5.466575785058750e+02, 1.114457545410157e+03, 1.000000063181329e+03, 5.704851418239204e+03, 1.468082149520868e+01, 8.495150770126486e+00, 7.084413753067786e-03
2, 1.931920337076797e-01, 5.173816881076040e-02, 8.846304043691283e-17, 2.656601929464953e-12, 4.452322026434040e-16, 7.391540850991635e-03, 1.964839970391648e-03, 4.650064544968011e+01, 1.358483913528319e+01, 1.497903612423107e+05, 7.514425595351984e+02, 9.454835379254189e-15, 2.839347798498156e-10, 4.758594279311696e-14, 7.899999999999683e-01, 2.099999997160398e-01, 1.057870814447292e+04, 3.911711044221001e+03, 1.251950325841158e+03, 4.969939373374017e+03, 1.451933112895331e+03, 4.115372979472165e+00, 4.607566693748605e-01
3, 3.346696875411197e-01, 1.931032050318336e-01, 3.615767421629056e-05, 1.674065532804979e-03, 5.024933226522926e-04, 7.623568075671796e-03, 1.564839556004474e-04, 3.185850227510504e+01, 2.959005588855352e+01, 1.579375475846670e+05, 7.951700127626614e+03, 3.618384033990704e-03, 1.675276999156808e-01, 5.028569605986473e-02, 7.629085001994916e-01, 1.565971979097215e-02, 1.333925536448352e+04, 4.000946113666287e+03, 4.684423230729359e+03, 3.188155722891041e+03, 2.961146924206644e+03, 3.129781957872027e+00, 5.855949241082740e-01
4, 4.846696875411197e-01, 1.931032050318336e-01, 1.145001924525201e-06, 7.800279455023855e-05, 2.177108974048840e-05, 3.498635665374452e-04, 6.396289206683526e-06, 2.157551263600361e+00, -8.740206467729709e-04, 7.439689734555074e+03, 2.919623317099749e+02, 2.504495111951052e-03, 1.706177199227012e-01, 4.762052068996399e-02, 7.652664798848623e-01, 1.399078439052142e-02, 3.963882073627799e+02, 2.594999652885929e+03, 4.041581895944719e+03, 4.719272935468320e+03, -1.911770094617884e+00, 4.211282621231469e+00, 2.888893376877362e-04
6, -3.642597808978606e-02, 0.000000000000000e+00, 7.727532299901763e-44, 4.370469002200173e-26, 1.737219059216352e-43, 1.065942355278785e-03, 2.833517653272721e-04, 7.724885620526753e+00, 4.615400488975792e-17, 2.273700247243776e+04, 5.607787089138591e+01, 5.727092545568060e-41, 3.239078074569172e-23, 1.287502133660860e-40, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000063e+02, 1.000000000000016e+03, 9.999999999999974e+02, 5.725131016695600e+03, 3.420603720486612e-14, 8.999999999999925e+00, 2.827648253015597e-16
7, -2.667860502238101e-02, 0.000000000000000e+00, 1.467861417819358e-43, 6.441860668182592e-26, 3.332450293405461e-43, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526753e+00, 5.123187121651339e-17, 2.273700247243777e+04, 5.607787089155369e+01, 1.087873574339777e-40, 4.774244969872933e-23, 2.469773078021444e-40, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000063e+02, 1.000000000000016e+03, 9.999999999999974e+02, 5.725131016695600e+03, 3.796938742570208e-14, 8.999999999999925e+00, 2.827648253015597e-16
8, -1.967899189389502e-02, 0.000000000000000e+00, 2.088238379073419e-43, 7.927264007941135e-26, 4.772929307816025e-43, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526754e+00, 7.059806308133349e-17, 2.273700247243776e+04, 5.607787089182629e+01, 1.547652470415755e-40, 5.875119358246722e-23, 3.537352779446031e-40, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000063e+02, 1.000000000000016e+03, 9.999999999999974e+02, 5.725131016695600e+03, 5.232221945028799e-14, 8.999999999999925e+00, 2.827648253015597e-16
9, -1.465240488577790e-02, 0.000000000000000e+00, 2.600203690122833e-43, 9.003676838950780e-26, 5.971452725978171e-43, 1.065942355278786e-03, 2.833517653272721e-04, 7.724885620526754e+00, 8.430386301723677e-17, 2.273700247243777e+04, 5.607787089136571e+01, 1.927084429119804e-40, 6.672879323676761e-23, 4.425612351513097e-40, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000064e+02, 1.000000000000016e+03, 9.999999999999974e+02, 5.725131016695599e+03, 6.247997506975744e-14, 8.999999999999924e+00, 2.879060039434063e-16
10, -1.104251657272189e-02, 0.000000000000000e+00, 2.998043536466239e-43, 9.773647217698768e-26, 6.908192729101266e-43, 1.065942355278786e-03, 2.833517653272721e-04, 7.724885620526755e+00, 4.869507344940811e-17, 2.273700247243777e+04, 5.607787089149875e+01, 2.221934781068799e-40, 7.243526128542511e-23, 5.119856837439073e-40, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000064e+02, 1.000000000000016e+03, 9.999999999999974e+02, 5.725131016695600e+03, 3.608929491780184e-14, 8.999999999999925e+00, 2.879060039434063e-16
11, -8.449838008039140e-03, 0.000000000000000e+00, 3.296325752554407e-43, 1.032089920962102e-25, 7.613294782138763e-43, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526753e+00, 3.340808955894639e-17, 2.273700247243776e+04, 5.607787089151365e+01, 2.443000160019824e-40, 7.649110043542785e-23, 5.642427893126168e-40, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000063e+02, 1.000000000000016e+03, 9.999999999999974e+02, 5.725131016695600e+03, 2.475967918984232e-14, 8.999999999999925e+00, 2.827648253015597e-16
12, -6.587513141920458e-03, 0.000000000000000e+00, 3.532095793025428e-43, 1.073724164414333e-25, 8.172290993779186e-43, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526752e+00, 2.269651506958208e-17, 2.273700247243776e+04, 5.607787089154340e+01, 2.617735999204480e-40, 7.957673186421744e-23, 6.056715781217863e-40, 7.899999999999999e-01, 2.100000000000000e-01, 3.900000000000062e+02, 1.000000000000016e+03, 9.999999999999974e+02, 5.725131016695600e+03, 1.682102865710819e-14, 8.999999999999925e+00, 2.801942359806364e-16
13, -5.249574323985151e-03, 0.000000000000000e+00, 3.713890638130856e-43, 1.104928991228271e-25, 8.604298479041561e-43, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526752e+00, 2.158931454288085e-17, 2.273700247243776e+04, 5.607787089167353e+01, 2.752469295918004e-40, 8.188940975537449e-23, 6.376888735850121e-40, 7.899999999999999e-01, 2.100000000000000e-01, 3.900000000000062e+02, 1.000000000000016e+03, 9.999999999999974e+02, 5.725131016695600e+03, 1.600045106042829e-14, 8.999999999999925e+00, 2.801942359806364e-16
