x,S1_M,S1_P,S1_T,S1_beta
-0.05,1.4637637573060961e-27,2.6767116929019613e-28,1.512344152754978e-25,1.3311397408332658e-29
-0.048819599109131404,-7.255843425663026e-28,-1.326839856663884e-28,-7.496655333441511e-26,-6.598429213016818e-30
-0.04763919821826281,-2.70584176969612e-27,-4.94803773350536e-28,-2.79564510205616e-25,-2.4606795284219562e-29
-0.04645879732739421,-3.839009548087555e-27,-7.020205067407868e-28,-3.9664212298205156e-25,-3.4911768715346474e-29
-0.04527839643652561,-3.487088701744778e-27,-6.376664988156762e-28,-3.602820593076656e-25,-3.171141741646823e-29
-0.04409799554565702,-1.0120802546719886e-27,-1.8507406255374352e-28,-1.0456698682640482e-25,-9.203809297655774e-30
-0.04291759465478842,3.95166377382896e-27,7.2262102248601785e-28,4.082814301265805e-25,3.5936240841457616e-29
-0.04173719376391982,9.422562718079416e-27,1.723056994593359e-27,9.735285191703596e-25,8.568833346176723e-29
-0.04055679287305123,1.2220240972958958e-26,2.2346544474224654e-27,1.2625814711196298e-24,1.1113028533786114e-28
-0.03937639198218263,9.154703658488597e-27,1.674074945866043e-27,9.458536241941265e-25,8.325243602009419e-29
-0.03819599109131404,-2.9496069558599836e-27,-5.393798957521504e-28,-3.0475005343962963e-25,-2.6823584196465286e-29
-0.03701559020044544,-2.3152322138398047e-26,-4.233749543009327e-27,-2.3920717283741222e-24,-2.105461071649603e-28
-0.03583518930957684,-4.074792277913719e-26,-7.451369172107079e-27,-4.2100292785875256e-24,-3.7055965552487626e-28
-0.03465478841870824,-4.3614428334156755e-26,-7.975552729637582e-27,-4.506193389314784e-24,-3.966275195675567e-28
-0.03347438752783965,-1.9629858259536303e-26,-3.5896141621930675e-27,-2.028134745790861e-24,-1.7851298958434765e-28
-0.03229398663697105,4.1225199769768646e-26,7.538646432197697e-27,4.259340997259562e-24,3.7489998958796365e-28
-0.031113585746102453,1.1793056694441212e-25,2.1565373914682512e-26,1.2184452747873649e-23,1.0724549199634084e-27
-0.029933184855233858,1.6578526117901295e-25,3.0316322896623846e-26,1.7128745612507103e-23,1.5076432142707983e-27
-0.02875278396436526,1.394913551778689e-25,2.5508087599497999e-26,1.4412088993880112e-23,1.2685276941251666e-27
-0.027572383073496663,-6.24074713776469e-27,-1.1418856411345463e-27,-6.4556100705800635e-25,-5.681155489425036e-29
-0.026391982182628067,6.934256878911165e-26,-1.843178001104757e-26,-2.8706916499903185e-23,-2.0803349452062108e-27
-0.025211581291759468,2.124155042859624e-24,1.4978688498065182e-25,-5.568711143346237e-23,-1.4773608841533285e-27
-0.024031180400890872,8.241219689185004e-24,7.129146576641594e-25,-6.411805273338071e-23,5.750484299756859e-27
-0.022850779510022276,2.0503559521876498e-23,1.8803520863696723e-24,-3.653164732530367e-23,2.3601574278016824e-26
-0.021670378619153677,4.235554051894968e-23,3.989781048597045e-24,4.3252166673953837e-23,5.792007445912831e-26
-0.02048997772828508,1.1654269554508636e-22,1.1082289587534751e-23,1.5422875181639538e-22,1.6783706693435248e-25
-0.019309576837416485,3.301413708870602e-22,3.1376322826653443e-23,2.3344998401504695e-22,4.725900517065114e-25
-0.018129175946547886,7.725997604575398e-22,7.331382854386514e-23,2.157236215697712e-22,1.094632424306154e-24
-0.016948775055679294,1.5333660581691867e-21,1.4533675451708117e-22,3.5857422780432084e-23,2.156417580263819e-24
-0.015768374164810695,2.8789294898876735e-21,2.730841468737994e-22,-3.364109179024751e-22,4.05995175167995e-24
-0.014587973273942095,6.096693889109126e-21,5.813628475924264e-22,-7.2991875009366005e-22,8.819294440512213e-24
-0.013407572383073503,1.2839232279706579e-20,1.2304508570143477e-21,-9.014560773020288e-22,1.902511771062931e-23
-0.012227171492204904,2.4759578293308517e-20,2.3806709171816936e-21,-6.077220258013873e-22,3.72688209386769e-23
-0.011046770601336305,4.356968789794441e-20,4.1982258840857816e-21,3.8917633876997147e-22,6.624451783287757e-23
-0.009866369710467712,7.538501692200355e-20,7.288762847190476e-21,1.922975196461033e-21,1.1632257142187842e-22
-0.008685968819599113,1.3369883527935527e-19,1.2994192767495636e-20,3.1502690242968535e-21,2.1073446478787795e-22
-0.007505567928730514,2.327083262071251e-19,2.272667315092645e-20,3.1630465690727643e-21,3.7393875364635097e-22
-0.0063251670378619215,3.866106729424377e-19,3.789836150340802e-20,1.0532965775841336e-21,6.303939937127707e-22
-0.005144766146993322,6.123714054943521e-19,6.021400292068375e-20,-2.1522185400141636e-21,1.0102605424340154e-21
-0.003964365256124723,9.5276835276664e-19,9.410645387451413e-20,1.26132565198858e-20,1.5968628377188253e-21
-0.0027839643652561308,1.464634832885503e-18,1.4549410066876036e-19,7.423973715566034e-20,2.502474585536103e-21
-0.0016035634743875316,2.2049452021564647e-18,2.2031023598439593e-19,2.1171580913180803e-19,3.8396599799334846e-21
-0.0004231625835189323,3.230722289393578e-18,3.244937428832617e-19,4.542084665985407e-19,5.721102161613376e-21
0.00075723830734966,4.6189272354868424e-18,4.662830090687957e-19,9.042698487795858e-19,8.30841088132961e-21
0.0019376391982182592,6.4970824975062365e-18,6.597477072999739e-19,1.8505485662970935e-18,1.1887268268230048e-20
0.0031180400890868584,9.000604919294313e-18,9.198679775286298e-19,3.610749386401032e-18,1.6762728481639712e-20
0.004298440979955451,1.226491134469361e-17,1.2616239597065955e-18,6.502577076341352e-18,2.3239845680883596e-20
0.00547884187082405,1.6431065586807853e-17,1.7006755782481308e-18,1.0831933906460165e-17,3.163839625169013e-20
0.006659242761692649,2.17317000925139e-17,2.2637058270417103e-18,1.6713338332704246e-17,4.251688537314771e-20
0.007839643652561241,2.847373936026527e-17,2.9863410074400257e-18,2.410603406655692e-17,5.662750520096899e-20
0.00902004454342984,3.6966252120272007e-17,3.904465544289012e-18,3.296478324938774e-17,7.47280381223555e-20
0.010200445434298433,4.75183071083426e-17,5.053963863194596e-18,4.324434806767168e-17,9.757626654177662e-20
0.011380846325167032,6.047875628415323e-17,6.476120997013237e-18,5.522000672510151e-17,1.2605267898694072e-19
0.012561247216035631,7.635310789791166e-17,8.233488206328412e-18,7.042914857253383e-17,1.6152094971620684e-19
0.01374164810690423,9.568542472720281e-17,1.0393850562356609e-17,9.071977990835551e-17,2.0546366935839974e-19
0.01492204899777283,1.1901976954961165e-16,1.3024993136314302e-17,1.1793990703095343e-16,2.593634285423443e-19
0.016102449888641415,1.4690809897200042e-16,1.619567593516368e-17,1.5390482746941013e-16,3.247251166622391e-19
0.017282850779510014,1.8016047866961304e-16,2.0006536999735477e-17,1.9936034134211325e-16,4.03782738647279e-19
0.018463251670378614,2.198965042537388e-16,2.459644319345253e-17,2.53769684511916e-16,4.996446704293203e-19
0.019643652561247213,2.6725405585865524e-16,3.0106519629115574e-17,3.1652032932776503e-16,6.154709387010571e-19
0.020824053452115812,3.2337101361864005e-16,3.667789141952532e-17,3.8699974813860684e-16,7.5442157015518295e-19
0.02200445434298441,3.8953193855048065e-16,4.447020606000181e-17,4.651694222106147e-16,9.201121783265834e-19
0.023184855233852997,4.679307178191576e-16,5.3757937780361645e-17,5.545493150661402e-16,1.1189827190999448e-18
0.024365256124721596,5.611092349228305e-16,6.485950465019231e-17,6.600212104933253e-16,1.3585540155310145e-18
0.025545657015590195,6.716100770559855e-16,7.809341359955389e-17,7.864696460677221e-16,1.6463490763372436e-18
0.026726057906458794,8.01979431422221e-16,9.377863280203663e-17,9.38780752928617e-16,1.9899022914394116e-18
0.027906458797327394,9.55090400865258e-16,1.122760158040772e-16,1.1219853732123847e-15,2.3977815740788325e-18
0.02908685968819598,1.1343996160334953e-15,1.3402117941414551e-16,1.3413726508313883e-15,2.8803996241032035e-18
0.030267260579064578,1.34342409532897e-15,1.5945747749353488e-16,1.6022584606676055e-15,3.448360053461077e-18
0.03144766146993318,1.5856808571537127e-15,1.8902826390353805e-16,1.909958677603006e-15,4.112266474100989e-18
0.03262806236080178,1.864531898419316e-15,2.2316040270015165e-16,2.2703515095666054e-15,4.8824043408145065e-18
0.033808463251670376,2.181772719094579e-15,2.6211412794819904e-16,2.694997557273879e-15,5.765844120507899e-18
0.034988864142538975,2.5382898621417847e-15,3.0605298696270227e-16,3.1987546195362087e-15,6.7677907892049555e-18
0.03616926503340756,2.9349586978957357e-15,3.55139338614092e-16,3.796521023337117e-15,7.893426392873863e-18
0.03734966592427616,3.372654629705271e-15,4.095355864980938e-16,4.503174566486551e-15,9.147935300031953e-18
0.03853006681514476,3.852274018445052e-15,4.694325261328209e-16,5.320560986644981e-15,1.0537976249290731e-17
0.03971046770601336,4.37477006934077e-15,5.350979621458962e-16,6.215178385149303e-15,1.2074207001465354e-17
0.04089086859688196,4.941105532528059e-15,6.068126300015508e-16,7.147589532922753e-15,1.3767956805498004e-17
