"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient","Metric_xx","Metric_xy","Metric_yy"
0, -5.000000000000000e-02, 0.000000000000000e+00, 2.745114491255813e-44, 2.177036148132810e-26, 6.134602934645862e-44, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526750e+00, 7.006426544746753e-17, 2.273700247243774e+04, 5.607787089176568e+01, 2.034481918607042e-41, 1.613463006238372e-23, 4.546527581318153e-41, 7.900000000000001e-01, 2.100000000000000e-01, 3.900000000000592e+02, 1.000000000000152e+03, 9.999999999991621e+02, 5.725131016695599e+03, 5.192660694022518e-14, 8.999999999999311e+00, 2.678554072402049e-15, 3.999999999999999e+00, -1.265784870043566e-17, 3.999999999999999e+00
3, -3.640905996670419e-02, 0.000000000000000e+00, 1.707623717423205e-43, 6.405443782148470e-26, 3.952877373429471e-43, 1.065942355278786e-03, 2.833517653272721e-04, 7.724885620526757e+00, 6.471030593328856e-17, 2.273700247243775e+04, 5.607787089151839e+01, 1.265568189577672e-40, 4.747255386595295e-23, 2.929589118534046e-40, 7.900000000000000e-01, 2.099999999999999e-01, 3.900000000000595e+02, 1.000000000000152e+03, 9.999999999991621e+02, 5.725131016695601e+03, 4.795863625658047e-14, 8.999999999999316e+00, 2.688836429685742e-15, 4.000000000000000e+00, -2.236736665908028e-17, 4.000000000000000e+00
4, -2.648758523368654e-02, 0.000000000000000e+00, 3.131873083791938e-43, 9.281648182569367e-26, 7.349241554831306e-43, 1.065942355278785e-03, 2.833517653272718e-04, 7.724885620526756e+00, -1.454742565512065e-14, 2.273700247243778e+04, 5.607787089157087e+01, 2.321119640234709e-40, 6.878891741113026e-23, 5.446730584974519e-40, 7.900000000000000e-01, 2.099999999999999e-01, 3.899999999999757e+02, 9.999999999999382e+02, 9.999999999992277e+02, 5.725131016695605e+03, -1.078150822193344e-11, 9.000000000000282e+00, -1.097641640034237e-15, 3.999999999999999e+00, 5.336982286320551e-17, 3.999999999999999e+00
6, -1.924472747190228e-02, 0.000000000000000e+00, 4.124828774519740e-43, 1.095893078563119e-25, 9.752549483636199e-43, 1.065942355278786e-03, 2.833517653272723e-04, 7.724885620526745e+00, 2.199116039022532e-14, 2.273700247243768e+04, 5.607787089150850e+01, 3.057027160740167e-40, 8.121973273483763e-23, 7.227890001666704e-40, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000009e+02, 1.000000000000001e+03, 9.999999999999465e+02, 5.725131016695589e+03, 1.629827037291737e-11, 8.999999999999975e+00, 4.112942913477235e-17, 3.999999999999999e+00, 2.529829781198112e-17, 4.000000000000000e+00
20, -1.395714581734536e-02, 0.000000000000000e+00, 4.951095399314626e-43, 1.224479984278325e-25, 1.176276061707716e-42, 1.065942355278784e-03, 2.833517653272718e-04, 7.724885620526742e+00, 2.030606252241574e-15, 2.273700247243769e+04, 5.607787089140146e+01, 3.669396704323269e-40, 9.074967166745907e-23, 8.717714275515954e-40, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000406e+02, 1.000000000000105e+03, 9.999999999993466e+02, 5.725131016695597e+03, 1.504939672700490e-12, 8.999999999999520e+00, 1.835400775139216e-15, 4.000000000000000e+00, 2.163134177096238e-17, 4.000000000000000e+00
22, -1.009678458521239e-02, 0.000000000000000e+00, 5.617026907765639e-43, 1.320278428691598e-25, 1.339487567795039e-42, 1.065942355278785e-03, 2.833517653272721e-04, 7.724885620526751e+00, 4.959437736048386e-17, 2.273700247243773e+04, 5.607787089140886e+01, 4.162937362569000e-40, 9.784956508211669e-23, 9.927320866064299e-40, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000406e+02, 1.000000000000104e+03, 9.999999999993887e+02, 5.725131016695598e+03, 3.675579445807393e-14, 8.999999999999527e+00, 1.837971364460139e-15, 4.000000000000001e+00, -9.475691785912434e-17, 4.000000000000001e+00
27, -7.278131510363134e-03, 0.000000000000000e+00, 6.076544840545581e-43, 1.383349772503759e-25, 1.452634312598452e-42, 1.065942355278786e-03, 2.833517653272724e-04, 7.724885620526760e+00, -2.594075931654878e-15, 2.273700247243777e+04, 5.607787089141947e+01, 4.503499087223619e-40, 1.025239605937365e-22, 1.076588336385826e-39, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000366e+02, 1.000000000000093e+03, 9.999999999994483e+02, 5.725131016695600e+03, -1.922542974166155e-12, 8.999999999999579e+00, 1.655459522674587e-15, 4.000000000000000e+00, -6.789602030600990e-17, 4.000000000000000e+00
28, -5.219729353472306e-03, 0.000000000000000e+00, 6.451305436598051e-43, 1.433220722278091e-25, 1.545163531362126e-42, 1.065942355278787e-03, 2.833517653272725e-04, 7.724885620526765e+00, -2.963393021297582e-15, 2.273700247243778e+04, 5.607787089110159e+01, 4.781244754627947e-40, 1.062200376026492e-22, 1.145164355024454e-39, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000287e+02, 1.000000000000072e+03, 9.999999999995591e+02, 5.725131016695599e+03, -2.196254305152179e-12, 8.999999999999673e+00, 1.298147607066252e-15, 4.000000000000000e+00, 1.664238079151382e-17, 4.000000000000000e+00
32, -3.716075109627959e-03, 0.000000000000000e+00, 6.759924589383271e-43, 1.473221900275981e-25, 1.621557184672491e-42, 1.065942355278789e-03, 2.833517653272731e-04, 7.724885620526775e+00, 3.422427610344754e-15, 2.273700247243780e+04, 5.607787089131021e+01, 5.009971129457614e-40, 1.091846379360383e-22, 1.201781850160391e-39, 7.899999999999999e-01, 2.100000000000000e-01, 3.900000000000294e+02, 1.000000000000072e+03, 9.999999999995591e+02, 5.725131016695596e+03, 2.536457810108520e-12, 8.999999999999670e+00, 1.331565268238255e-15, 4.000000000000000e+00, 3.365004233906077e-17, 4.000000000000000e+00
33, -2.617116624604489e-03, 0.000000000000000e+00, 6.971699674335561e-43, 1.500404394306140e-25, 1.673993796342768e-42, 1.065942355278785e-03, 2.833517653272719e-04, 7.724885620526740e+00, 8.791660617549532e-15, 2.273700247243767e+04, 5.607787089111076e+01, 5.166923629078079e-40, 1.111992093786201e-22, 1.240644104778925e-39, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000226e+02, 1.000000000000058e+03, 9.999999999996253e+02, 5.725131016695594e+03, 6.515748111020168e-12, 8.999999999999726e+00, 1.023094549727462e-15, 4.000000000000000e+00, 9.791338513827433e-17, 4.000000000000000e+00
