x,UB,LB,M
-0.05,5.0783388013489736e-39,-1.2503184580962527e-39,1.9140101716263604e-39
-0.03640905996670419,1.046088875701963e-38,-2.4388944543897743e-39,4.010997151314928e-39
-0.02648758523368654,1.739802674229415e-38,-4.002669669456661e-39,6.697678536418745e-39
-0.01924472747190228,2.2745537156708578e-38,-5.291610095805106e-39,8.726963530451736e-39
-0.01395714581734536,2.7026238113517847e-38,-6.42809825085435e-39,1.0299069931331748e-38
-0.01009678458521239,3.0627524164791115e-38,-7.418125101984224e-39,1.1604699531403444e-38
-0.007278131510363134,3.349544376304535e-38,-8.199188750202555e-39,1.2648127506421396e-38
-0.005219729353472306,3.58082551855016e-38,-8.839475306701247e-39,1.3484389939400177e-38
-0.003716075109627959,2.566540108548412e-35,-2.324630781220568e-35,1.2095466366392213e-36
-0.002617116624604489,1.1098870528256117e-34,-7.513605996869353e-35,1.7926322656933817e-35
-0.001739648995067414,2.041645751328055e-27,-1.3887756833070692e-27,3.2643503401049285e-28
-0.0008698244975333391,3.0265633733314398e-27,-1.7265100599812526e-27,6.500266566750936e-28
0.0,1.2904831524609336e-20,-6.621182195597583e-21,3.1418246645058765e-21
0.0008914882248994977,3.267201707984855e-19,-1.1687372998238927e-19,1.0492322040804812e-19
0.001782976449799005,3.4231910146477074e-18,-2.188594160980391e-18,6.172984268336581e-19
0.002674464674698533,6.743267936326612e-18,-4.288794539249292e-18,1.2272366985386597e-18
0.003565952899598004,1.897416578291506e-17,-1.3437493159252933e-17,2.7683363118310623e-18
0.004457441124497438,3.240809293334279e-17,-2.285964267185656e-17,4.774225130743114e-18
0.00534892934939678,4.808439803100955e-17,-3.5659656618566825e-17,6.212370706221362e-18
0.006240417574296114,6.429573069361649e-17,-4.7600980169991083e-17,8.347375261812705e-18
0.007131905799195436,8.135036006925286e-17,-6.181779991150279e-17,9.766280078875029e-18
0.008023394024094811,9.766184431578419e-17,-7.514455646701984e-17,1.1258643924382175e-17
0.008914882248994234,1.1387652832826608e-16,-8.592422453712403e-17,1.3976151895571022e-17
0.009806370473893577,1.252381158954579e-16,-9.1691297933518e-17,1.6773408980969952e-17
0.0106978586987929,1.3252552061277014e-16,-9.462678260745733e-17,1.8949369002656397e-17
0.01158934692369223,1.3932778752159572e-16,-9.356661642478067e-17,2.2880585548407536e-17
0.01248083514859175,1.4831838783280386e-16,-9.321460667827007e-17,2.7551890577266887e-17
0.01337232337349147,1.5873457493922017e-16,-9.257884246239716e-17,3.30778662384115e-17
0.01426381159839122,1.7600286025130358e-16,-9.679063224933141e-17,3.960611400098608e-17
0.01515529982329097,2.0412370320674021e-16,-1.0928953111715229e-16,4.7417086044793967e-17
0.0160467880481907,2.5847359158624573e-16,-1.4221852680963002e-16,5.812753238830787e-17
0.01693827627309051,3.3671923118969416e-16,-1.9609113217442765e-16,7.031404950763324e-17
0.01782976449799041,4.325487043497601e-16,-2.650734644728426e-16,8.373761993845872e-17
0.01872125272289031,5.429817578626217e-16,-3.4584280838861947e-16,9.856947473700108e-17
0.01961274094779022,6.736189486096872e-16,-4.44694908876785e-16,1.1446201986645112e-16
0.02050422917269014,8.085721513744182e-16,-5.468399030706999e-16,1.308661241518591e-16
0.02139571739759007,9.468526413072864e-16,-6.518709736105623e-16,1.47490833848362e-16
0.02228720562248999,1.1303600958859595e-15,-7.964261510363803e-16,1.6696697242478954e-16
0.02317869384738967,1.3475764431236925e-15,-9.682441777374384e-16,1.89666132693127e-16
0.02407018207228917,1.5806264995422166e-15,-1.1489928921696239e-15,2.1581680368629636e-16
0.02496167029718797,1.7933690424608437e-15,-1.3113865649801148e-15,2.4099123874036443e-16
0.02585315852208661,2.0025997563834454e-15,-1.4686968607375547e-15,2.6695144782294537e-16
0.02674464674698497,2.2210734487079367e-15,-1.628020668986449e-15,2.965263898607438e-16
0.02763613497188353,2.5095378248210715e-15,-1.849173409255756e-15,3.3018220778265776e-16
0.02852762319678226,2.827310235542896e-15,-2.095553688417022e-15,3.65878273562937e-16
0.02941911142168101,3.1308895583776704e-15,-2.324903352197737e-15,4.0299310308996664e-16
0.03031059964657972,3.361107112785947e-15,-2.48771720560397e-15,4.366949535909885e-16
0.03120208876295687,3.586479651406596e-15,-2.6365333545212487e-15,4.749731484426735e-16
0.03211603615231537,3.882925055335049e-15,-2.8397326289541464e-15,5.215962131904516e-16
0.03306263821957166,4.261424441115209e-15,-3.108536690620413e-15,5.76443875247398e-16
0.03404330350149454,4.663085651357912e-15,-3.3950931411507563e-15,6.339962551035776e-16
0.03505990866283369,5.062501158308834e-15,-3.678447500110674e-15,6.920268290990801e-16
0.03611437659401692,5.442123403892084e-15,-3.938694818441548e-15,7.517142927252679e-16
0.03720781251492448,5.847035135456756e-15,-4.212576934858726e-15,8.172291002990149e-16
0.03834153283913298,6.296162941631426e-15,-4.509127749881621e-15,8.935175958749024e-16
0.03951707266937012,6.812992910957097e-15,-4.870494013199186e-15,9.712494488789553e-16
0.04073611831285641,7.399473276417993e-15,-5.316421142538325e-15,1.0415260669398337e-15
0.04199973579341539,7.997832322044323e-15,-5.769846711074072e-15,1.1139928054851259e-15
0.04330924441866192,8.639859623993443e-15,-6.239480398489325e-15,1.2001896127520584e-15
0.04466648738017173,9.361119981145211e-15,-6.722793242003949e-15,1.3191633695706308e-15
0.04607394334706959,1.0096359678738143e-14,-7.217936472421226e-15,1.4392116031584591e-15
0.04753441116795683,1.0801139870243105e-14,-7.67142528639036e-15,1.5648572919263725e-15
0.04904722907946974,1.1502677353461713e-14,-8.138317646478033e-15,1.6821798534918404e-15
0.05061579951229327,1.2287542424839019e-14,-8.664972550010464e-15,1.811284937414277e-15
0.0522429796984596,1.3372629819453541e-14,-9.368726097122464e-15,2.001951861165538e-15
0.05392886588664213,1.460955795464872e-14,-1.0171750147223728e-14,2.2189039037124945e-15
0.05567779462008837,1.6184342724264914e-14,-1.1226257699074005e-14,2.4790425125954542e-15
0.05749073580602473,1.7707934237849143e-14,-1.2260897081286612e-14,2.7235185782812646e-15
0.05936984105820705,1.920593376522475e-14,-1.3261786276595606e-14,2.972073744314571e-15
0.06131888829774556,2.083783853616711e-14,-1.4207603735453084e-14,3.315117400357013e-15
0.0633395978503255,2.27094213627925e-14,-1.5304646996668708e-14,3.702387183061898e-15
0.06543449253022506,2.502553165760461e-14,-1.6711056385931093e-14,4.15723763583676e-15
0.0676064475245371,2.730464984779487e-14,-1.807479276944724e-14,4.6149285391738154e-15
0.06985839957815661,2.9654370793021895e-14,-1.9420612806664257e-14,5.116878993178819e-15
0.07219325844631382,3.225982622782028e-14,-2.0951466247103152e-14,5.654179990358562e-15
0.07461397849477001,3.522142124974703e-14,-2.2766540282061475e-14,6.227440483842779e-15
0.07712375765598738,3.8586316323260757e-14,-2.4933393123201294e-14,6.826461600029733e-15
0.07972633713574356,4.222528932255096e-14,-2.736825469801943e-14,7.428517312265766e-15
0.08242461639642955,4.629865095578598e-14,-3.014243018354285e-14,8.078110386121565e-15
0.08522212594146307,5.123743927001644e-14,-3.336684530064603e-14,8.935296984685202e-15
0.08812282375538115,5.6530102783097393e-14,-3.685517632118442e-14,9.83746323095649e-15
0.09113047082487051,6.250937988951142e-14,-4.0767047869966107e-14,1.0871166009772655e-14
0.09424866669024891,6.943395517289985e-14,-4.530987338125678e-14,1.2062040895821536e-14
0.09748170013635063,7.741132162084808e-14,-5.047395183542352e-14,1.346868489271228e-14
0.1008339308239883,8.568040193414183e-14,-5.5629713954151846e-14,1.5025343989994993e-14
0.1043097319128833,9.46945346824788e-14,-6.1338590514256e-14,1.6677972084111398e-14
0.1079134959989725,1.050270447337545e-13,-6.837430165754297e-14,1.832637153810577e-14
0.1116309809947942,1.1701879210403157e-13,-7.672384908233795e-14,2.014747151084681e-14
0.1154556628374381,1.3087379153482632e-13,-8.597357967325776e-14,2.2450105930784273e-14
0.1194211400542905,1.4685564486390772e-13,-9.67090410867007e-14,2.5073301888603512e-14
0.1235329691157358,1.630984059874096e-13,-1.0718976578015916e-13,2.7954320103625218e-14
0.1277962626229142,1.811717813369314e-13,-1.1999735060670121e-13,3.058721536511511e-14
0.1322166984316482,1.995989807579633e-13,-1.3318387326436516e-13,3.320755374679908e-14
0.1368001042322728,2.1938851513703863e-13,-1.4621172885181948e-13,3.658839314260957e-14
0.141552410802003,2.4289299191438424e-13,-1.5999688372169892e-13,4.144805409634267e-14
0.1464799102645229,2.663052653803988e-13,-1.7453681576332254e-13,4.588422480853811e-14
0.1515891417382304,2.938650161688375e-13,-1.9052356719613112e-13,5.167072448635321e-14
0.1568867156612559,3.204498100099407e-13,-2.0658287261256726e-13,5.693346869868673e-14
0.1623795444791689,3.5115176671236464e-13,-2.2451588443314082e-13,6.33179411396119e-14
0.1680748718576803,3.810191477942547e-13,-2.4191129470263577e-13,6.955392654580947e-14
0.1736973472536992,4.116932853487543e-13,-2.6046426966792095e-13,7.561450784041668e-14
0.1778935653319111,4.408471650713146e-13,-2.7815252957694767e-13,8.13473177471835e-14
0.1808818454983137,4.669553865609947e-13,-2.9457482307334654e-13,8.619028174382411e-14
0.1830102782198245,4.85654758900364e-13,-3.0767850160247013e-13,8.898812864894696e-14
0.1845266076094257,4.994253970813126e-13,-3.173806140670399e-13,9.102239150713634e-14
0.1856071385576787,5.099621005171058e-13,-3.247965206308838e-13,9.258278994311102e-14
0.186456344897294,5.191545554708355e-13,-3.3117883752282173e-13,9.398785897400692e-14
0.1872983059985922,5.281100893954773e-13,-3.3752636642405576e-13,9.529186148571075e-14
0.1881402670998902,5.37632800949138e-13,-3.441563271082784e-13,9.673823692042977e-14
0.1889822282011882,5.472720778864638e-13,-3.5098114674616333e-13,9.814546557015023e-14
0.1898241893024864,5.570758494158801e-13,-3.578335108450193e-13,9.962116928543043e-14
0.1906661504037847,5.664473688192906e-13,-3.65119202972748e-13,1.0066408292327127e-13
0.191508111505083,5.764847812439701e-13,-3.7241696446018097e-13,1.0203390839189461e-13
0.1923500726063814,1.9481393191037143e-12,-1.5313197817473897e-12,2.0840976867816235e-13
0.1931920337076797,6.130867921004749e-05,-1.0274547488001166e-05,2.5517065861023158e-05
0.1938060252885054,0.0013635955871894021,-0.00046547099130016397,0.00044906229794461903
0.1944200168693315,0.003490011952303993,-0.0016654615205798568,0.0009122752158620682
0.1950340084501591,0.007781311033350291,-0.00255563298259114,0.0026128390253795757
0.1956480000309866,0.013275972719521155,-0.0028877568897664463,0.005194107914877354
0.1962619916118142,0.01926517739345152,-0.0015844341899255016,0.008840371601763009
0.1968759831926407,0.024237117445465903,0.0001088078202506372,0.01217296263285827
0.1974899747734663,0.028260099621392167,0.0016328927815525245,0.014946496201472346
0.198103966354292,0.031869058168948056,0.0034503435801406645,0.01765970087454436
0.1987179579351177,0.034990062207629395,0.00492794633701806,0.01995900427232373
0.1993319495159453,0.03773274342504727,0.006318394646521508,0.022025569035784388
0.1999459410967732,0.040230533916675304,0.007694451324174744,0.023962492620425026
0.2005599326776022,0.04253481771281209,0.00905406360167672,0.025794440657244403
0.2011739242584307,0.044739017237155405,0.010420299822371595,0.0275796585297635
0.2017879158392583,0.046706452130294784,0.011559413611527732,0.02913293287091126
0.202401907420085,0.048647664535458685,0.012910314962416864,0.030778989748937776
0.203015899000911,0.05041400829660854,0.014175387607286025,0.03229469795194728
0.2036298905817386,0.052143474177222635,0.015474066116953563,0.0338087701470881
0.2042438821625666,0.0535239506953203,0.01652989194863819,0.035026921321979244
0.2048578737433964,0.054901988534383696,0.017704791683980696,0.036303390109182196
0.2054718653242259,0.056163817176099806,0.01882543470579141,0.03749462594094561
0.2060858569050542,0.05742410411565235,0.020019059008664856,0.0387215815621586
0.2066998484858817,0.05860350387454062,0.02119597706600203,0.039899740470271325
0.2073138400667077,0.05973168465573066,0.022381246365118332,0.041056465510424495
0.2079278316475338,0.06075537688622076,0.023504674172779724,0.042130025529500244
0.2085418232283599,0.06177206143394819,0.024639385548145522,0.04320572349104686
0.2091558148091877,0.06255993209910578,0.025564718162656087,0.04406232513088093
0.2097698063900161,0.0632883059549863,0.026447176377206276,0.044867741166096285
