x,UB,LB,M
-0.05,2.724377320227976e-39,-1.0404091110654039e-39,8.419841045812862e-40
-0.03640905996670419,5.2639474514282466e-39,-1.861419677032876e-39,1.7012638871976855e-39
-0.02648758523368654,8.542885860173176e-39,-2.902957957910634e-39,2.8199639511312712e-39
-0.01924472747190228,1.100835458374181e-38,-3.655329049334296e-39,3.676512767203757e-39
-0.01395714581734536,1.285119892212668e-38,-4.2296566998974525e-39,4.310771111114614e-39
-0.01009678458521239,1.429994606959025e-38,-4.700416694141023e-39,4.799764687724614e-39
-0.007278131510363134,1.5399245630908037e-38,-5.060327508953735e-39,5.1694590609771504e-39
-0.005219729353472306,1.6264998268583426e-38,-5.3494715618881593e-39,5.457763353347633e-39
-0.003716075109627959,2.704375504488049e-38,-1.383653804487329e-38,6.603608500003599e-39
-0.002617116624604489,8.569664651936148e-38,-4.594969208088129e-38,1.9873477219240096e-38
-0.001739648995067414,1.3518310556940575e-26,-1.0003899228186571e-26,1.757205664377002e-27
-0.0008698244975333391,1.9910906733524326e-26,-1.2912696153767865e-26,3.499105289878231e-27
0.0,3.581180457821258e-20,-1.6972956121056774e-20,9.419424228577902e-21
0.0008914882248994977,4.0667243782075366e-19,-2.9112788789502355e-19,5.777227496286507e-20
0.001782976449799005,1.4047554856669424e-18,-7.3982082971430105e-19,3.3246732797632067e-19
0.002674464674698533,2.7772204397086115e-18,-2.1634844027130956e-18,3.0686801849775805e-19
0.003565952899598004,9.708365411397629e-18,-6.350149999549582e-18,1.6791077059240234e-18
0.004457441124497438,1.7124368564876542e-17,-1.1502684586591716e-17,2.8108419891424128e-18
0.00534892934939678,2.5039077562075223e-17,-1.7133310674363248e-17,3.952883443855988e-18
0.006240417574296114,3.298773052102031e-17,-2.2881629443547832e-17,5.053050538736237e-18
0.007131905799195436,4.1150946737522285e-17,-2.903249644293561e-17,6.059225147293338e-18
0.008023394024094811,4.8630578783840883e-17,-3.4308848414835614e-17,7.160865184502636e-18
0.008914882248994234,5.575886354064392e-17,-3.847814544441184e-17,8.640359048116042e-18
0.009806370473893577,6.043865864962659e-17,-4.06343829634784e-17,9.902137843074093e-18
0.0106978586987929,6.166765986680684e-17,-3.975538065511395e-17,1.0956139605846447e-17
0.01158934692369223,6.234951907025305e-17,-3.791110817646644e-17,1.221920544689331e-17
0.01248083514859175,6.359868725392441e-17,-3.6263539071180034e-17,1.3667574091372187e-17
0.01337232337349147,6.724681052413156e-17,-3.6656854795811403e-17,1.529497786416008e-17
0.01426381159839122,7.530733867281326e-17,-4.1122304145869404e-17,1.7092517263471925e-17
0.01515529982329097,9.312086556939901e-17,-5.5023911902660745e-17,1.9048476833369138e-17
0.0160467880481907,1.2657944604275325e-16,-8.409911130923669e-17,2.1240167366758282e-17
0.01693827627309051,1.699590965053141e-16,-1.2275808242116656e-16,2.360050704207377e-17
0.01782976449799041,2.1826340092626268e-16,-1.6547099969182185e-16,2.6396200617220424e-17
0.01872125272289031,2.6992148416075937e-16,-2.1095962021605054e-16,2.94809319723544e-17
0.01961274094779022,3.2851430326600593e-16,-2.6299803225175474e-16,3.275813550712557e-17
0.02050422917269014,3.841377463462629e-16,-3.125450342069278e-16,3.579635606966756e-17
0.02139571739759007,4.380955954856911e-16,-3.604533222872588e-16,3.882113659921615e-17
0.02228720562248999,5.113827607717597e-16,-4.2732920569667825e-16,4.202677753754076e-17
0.02317869384738967,6.013535524523909e-16,-5.098133147455208e-16,4.57701188534351e-17
0.02407018207228917,6.917704627841585e-16,-5.911275598259665e-16,5.032145147909594e-17
0.02496167029718797,7.678813214348464e-16,-6.586850464822424e-16,5.4598137476302056e-17
0.02585315852208661,8.317410956372573e-16,-7.141280878973651e-16,5.880650386994613e-17
0.02674464674698497,9.007542611588427e-16,-7.742979778520153e-16,6.322814165341373e-17
0.02763613497188353,9.974088360444668e-16,-8.608413167995172e-16,6.828375962247482e-17
0.02852762319678226,1.1039685512351411e-15,-9.561657605322558e-16,7.390139535144272e-17
0.02941911142168101,1.1975897382603906e-15,-1.037670665566125e-15,7.99595363471328e-17
0.03031059964657972,1.2498774186949572e-15,-1.077915473738036e-15,8.598097247846069e-17
0.03120208876295687,1.2955016431564362e-15,-1.109403380057724e-15,9.304913154935611e-17
0.03211603615231537,1.3676945946343844e-15,-1.165339751484869e-15,1.0117742157475765e-16
0.03306263821957166,1.4683717154825128e-15,-1.2477042107638291e-15,1.103337523593418e-16
0.03404330350149454,1.5692733859749882e-15,-1.3301588221669598e-15,1.1955728190401417e-16
0.03505990866283369,1.6591358928509902e-15,-1.3962908340066939e-15,1.314225294221481e-16
0.03611437659401692,1.736346700612525e-15,-1.4469635675623258e-15,1.446915665250996e-16
0.03720781251492448,1.81739279590942e-15,-1.498622045012354e-15,1.5938537544853298e-16
0.03834153283913298,1.9052314852464963e-15,-1.5540344185444932e-15,1.755985333510015e-16
0.03951707266937012,2.009464967176432e-15,-1.6243746255239034e-15,1.9254517082626433e-16
0.04073611831285641,2.1313923401596663e-15,-1.7171994641615271e-15,2.0709643799906953e-16
0.04199973579341539,2.2466756246762452e-15,-1.802487983233159e-15,2.220938207215431e-16
0.04330924441866192,2.3709012991484054e-15,-1.893170233920477e-15,2.3886553261396436e-16
0.04466648738017173,2.4998350147236976e-15,-1.977119756554306e-15,2.613576290846957e-16
0.04607394334706959,2.6237813064508154e-15,-2.0521507482498134e-15,2.858152791005011e-16
0.04753441116795683,2.719932678238033e-15,-2.097193327074809e-15,3.1136967558161214e-16
0.04904722907946974,2.8107164986037563e-15,-2.1440228535299924e-15,3.3334682253688217e-16
0.05061579951229327,2.9296008549201065e-15,-2.2150127631319734e-15,3.5729404589406664e-16
0.0522429796984596,3.1287625912666143e-15,-2.3337458494669482e-15,3.9750837089983285e-16
0.05392886588664213,3.3583401017576882e-15,-2.480804231941607e-15,4.3876793490804076e-16
0.05567779462008837,3.652778331153446e-15,-2.6813170771236894e-15,4.857306270148782e-16
0.05749073580602473,3.9156598789403526e-15,-2.863775802827705e-15,5.259420380563235e-16
0.05936984105820705,4.14595590446696e-15,-3.011760768528304e-15,5.670975679693282e-16
0.06131888829774556,4.385385501646215e-15,-3.1269342309510134e-15,6.292256353476007e-16
0.0633395978503255,4.6677194356368704e-15,-3.2681903482294868e-15,6.997645437036916e-16
0.06543449253022506,5.041047858196625e-15,-3.470543287596224e-15,7.852522853002007e-16
0.0676064475245371,5.37471366590824e-15,-3.632478686880334e-15,8.711174895139535e-16
0.06985839957815661,5.704840718208661e-15,-3.774465030895419e-15,9.651878436566206e-16
0.07219325844631382,6.061762486639657e-15,-3.928910087660853e-15,1.0664261994894016e-15
0.07461397849477001,6.473637459469364e-15,-4.144185991016182e-15,1.164725734226591e-15
0.07712375765598738,6.9425354301052895e-15,-4.4168326839871775e-15,1.262851373059056e-15
0.07972633713574356,7.429894700311007e-15,-4.717357581539596e-15,1.356268559385705e-15
0.08242461639642955,7.972578441194565e-15,-5.064889187733241e-15,1.4538446267306621e-15
0.08522212594146307,8.605222109067159e-15,-5.448039841742882e-15,1.5785911336621383e-15
0.08812282375538115,9.25942074892629e-15,-5.86758844206024e-15,1.6959161534330241e-15
0.09113047082487051,9.968782208011853e-15,-6.356494933115359e-15,1.8061436374482475e-15
0.09424866669024891,1.0802943738235118e-14,-6.940472501558198e-15,1.9312356183384603e-15
0.09748170013635063,1.1727344444710637e-14,-7.603040669158423e-15,2.0621518877761067e-15
0.1008339308239883,1.2651668200640562e-14,-8.201888799065165e-15,2.2248897007876995e-15
0.1043097319128833,1.3602448484546568e-14,-8.815674047929511e-15,2.3933872183085277e-15
0.1079134959989725,1.4647207888784052e-14,-9.47670166142956e-15,2.585253113677247e-15
0.1116309809947942,1.5923499475109237e-14,-1.0345729696523746e-14,2.788884889292745e-15
0.1154556628374381,1.74423902955444e-14,-1.1287770029335472e-14,3.077310133104464e-15
0.1194211400542905,1.9144245457981277e-14,-1.2381038780294863e-14,3.381603338843207e-15
0.1235329691157358,2.07372197890035e-14,-1.3293030806087545e-14,3.722094491457977e-15
0.1277962626229142,2.2301949575917196e-14,-1.4350374899870354e-14,3.97578733802342e-15
0.1322166984316482,2.3843302554673013e-14,-1.5368406365839216e-14,4.237448094416899e-15
0.1368001042322728,2.5522328079779026e-14,-1.6350005155500044e-14,4.58616146213949e-15
0.141552410802003,2.7340367621695736e-14,-1.7371067083948675e-14,4.984650268873529e-15
0.1464799102645229,2.8940045182813396e-14,-1.8074359045939438e-14,5.4328430684369806e-15
0.1515891417382304,3.0719821410745164e-14,-1.8920493064022376e-14,5.8996641733613925e-15
0.1568867156612559,3.222309273704992e-14,-1.969533118977185e-14,6.263880773639035e-15
0.1623795444791689,3.4063890064051986e-14,-2.0673391358068045e-14,6.69524935299197e-15
0.1680748718576803,3.5812361758365775e-14,-2.1636564728167635e-14,7.087898515099069e-15
0.1736973472536992,3.777075912101044e-14,-2.2877840028420055e-14,7.446459546295191e-15
0.1778935653319111,3.979361045600216e-14,-2.42496886724891e-14,7.771960891756527e-15
0.1808818454983137,4.180281839663605e-14,-2.5670710478988432e-14,8.066053958823808e-15
0.1830102782198245,4.3298968238879614e-14,-2.6745582553182058e-14,8.276692842848778e-15
