x,UB,LB,M
-0.05,1.4844284232677323e-22,-2.768844781917832e-23,6.037719725379746e-23
-0.03640905996670419,2.304713800860168e-22,-4.4053277683600525e-23,9.320905120120814e-23
-0.02648758523368654,3.3579034789526026e-22,-6.76229333445977e-23,1.3408370727533128e-22
-0.01924472747190228,4.07458711140826e-22,-8.609061519422472e-23,1.6068404797330064e-22
-0.01395714581734536,4.577519423812708e-22,-1.0061461605205877e-22,1.78568663164606e-22
-0.01009678458521239,4.945868188875015e-22,-1.1189940331412476e-22,1.9134370778668834e-22
-0.007278131510363134,5.208184195560784e-22,-1.196427378872466e-22,2.0058784083441592e-22
-0.005219729353472306,5.406328549635904e-22,-1.25402021418535e-22,2.076154167725277e-22
-0.003716075109627959,5.5567616994455865e-22,-1.2973238802671757e-22,2.1297189095892056e-22
-0.002617116624604489,5.683868626436719e-22,-1.3203644124173648e-22,2.181752107009677e-22
-0.001739648995067414,1.1920269940716609e-17,-8.798391990792353e-18,1.5609389749621274e-18
-0.0008698244975333391,1.7561277073054494e-17,-1.134463916904263e-17,3.1083189520059315e-18
0.0,2.7442153300917384e-14,-1.0814234326622913e-14,8.313959487147234e-15
0.0008914882248994977,9.23410635600959e-14,-3.529066686677411e-14,2.85251983466609e-14
0.001782976449799005,2.025044598841674e-13,-4.9630241562359943e-14,7.643710916090373e-14
0.002674464674698533,3.321663530009975e-13,-1.1254953842489798e-13,1.0980840728804975e-13
0.003565952899598004,7.369178850464421e-13,-3.090857783427747e-13,2.139160533518337e-13
0.004457441124497438,1.1824068326652842e-12,-5.472189090778233e-13,3.175939617937305e-13
0.00534892934939678,1.6568780173681927e-12,-8.270673171831134e-13,4.149053500925396e-13
0.006240417574296114,2.125305309197504e-12,-1.1127392980212329e-12,5.062830055881356e-13
0.007131905799195436,2.5629884148364367e-12,-1.3829854989227432e-12,5.900014579568466e-13
0.008023394024094811,2.9150127156257686e-12,-1.5638026845472217e-12,6.756050155392736e-13
0.008914882248994234,3.2252163720715296e-12,-1.650241569823231e-12,7.874874011241492e-13
0.009806370473893577,3.396557521996946e-12,-1.6190851279731974e-12,8.887361970118743e-13
0.0106978586987929,3.475635002985144e-12,-1.4945563319450445e-12,9.905393355200497e-13
0.01158934692369223,3.5875468280741147e-12,-1.383536414433289e-12,1.1020052068204129e-12
0.01248083514859175,3.773964580690693e-12,-1.3262286162094037e-12,1.2238679822406447e-12
0.01337232337349147,4.052977559206717e-12,-1.3401705885248942e-12,1.3564034853409115e-12
0.01426381159839122,4.425625434883443e-12,-1.4370305198729903e-12,1.4942974575052265e-12
0.01515529982329097,4.964679685881427e-12,-1.6883923988699554e-12,1.6381436435057358e-12
0.0160467880481907,5.745802805604052e-12,-2.1619763707656757e-12,1.7919132174191878e-12
0.01693827627309051,6.678910308423567e-12,-2.7793960759620177e-12,1.9497571162307747e-12
0.01782976449799041,7.653498938543294e-12,-3.4111890912375857e-12,2.1211549236528545e-12
0.01872125272289031,8.63483218103715e-12,-4.0365794883597095e-12,2.299126346338721e-12
0.01961274094779022,9.718099316538906e-12,-4.755561332005292e-12,2.481268992266807e-12
0.02050422917269014,1.0725760184088124e-11,-5.403902948153718e-12,2.6609286179672035e-12
0.02139571739759007,1.167040590344045e-11,-5.999603414127796e-12,2.8354012446563265e-12
0.02228720562248999,1.2894131388494467e-11,-6.865215827744364e-12,3.0144577803750515e-12
0.02317869384738967,1.4324632896749708e-11,-7.900254857462688e-12,3.2121890196435097e-12
0.02407018207228917,1.5806970942410827e-11,-8.893528909408287e-12,3.4567210165012693e-12
0.02496167029718797,1.7046411269224514e-11,-9.676214124610108e-12,3.685098572307203e-12
0.02585315852208661,1.8140746476645253e-11,-1.0333911067500459e-11,3.903417704572397e-12
0.02674464674698497,1.9275684323268717e-11,-1.1008030251858435e-11,4.1338270357051415e-12
0.02763613497188353,2.0766795559300744e-11,-1.2024533235926432e-11,4.371131161687157e-12
0.02852762319678226,2.239059363964452e-11,-1.3121311265881743e-11,4.634641186881389e-12
0.02941911142168101,2.3850776049172132e-11,-1.404959641748293e-11,4.900589815844601e-12
0.03031059964657972,2.4797731794747924e-11,-1.4466890132362962e-11,5.165420831192481e-12
0.03120208876295687,2.5690723162440402e-11,-1.4759861285172193e-11,5.465430938634104e-12
0.03211603615231537,2.6969261932473736e-11,-1.5361996728276793e-11,5.803632602098472e-12
0.03306263821957166,2.8669179902009074e-11,-1.6305689767922236e-11,6.18174506704342e-12
0.03404330350149454,3.039044427476849e-11,-1.7294581274975587e-11,6.547931499896453e-12
0.03505990866283369,3.204362481254655e-11,-1.8084310591943837e-11,6.9796571103013565e-12
0.03611437659401692,3.3561590245207694e-11,-1.8677209655092554e-11,7.442190295057568e-12
0.03720781251492448,3.524314856061872e-11,-1.924965160885749e-11,7.996748475880617e-12
0.03834153283913298,3.7086953376198024e-11,-1.9891756871431235e-11,8.597598252383394e-12
0.03951707266937012,3.918728444736503e-11,-2.074060324923807e-11,9.223340599063479e-12
0.04073611831285641,4.150294857428309e-11,-2.1914740969973087e-11,9.794103802155004e-12
0.04199973579341539,4.380690813288638e-11,-2.3035564616862003e-11,1.0385671758012188e-11
0.04330924441866192,4.62978283714026e-11,-2.4241143129268244e-11,1.1028342621067178e-11
0.04466648738017173,4.906219393111526e-11,-2.5459015808576605e-11,1.1801589061269328e-11
0.04607394334706959,5.1898575965032854e-11,-2.6626268734010662e-11,1.2636153615511097e-11
0.04753441116795683,5.458081818110599e-11,-2.7560037089102547e-11,1.3510390546001722e-11
0.04904722907946974,5.7222270296142675e-11,-2.863279300026796e-11,1.4294738647937356e-11
0.05061579951229327,6.026612836689945e-11,-2.991274524463847e-11,1.5176691561130495e-11
0.0522429796984596,6.482305028730765e-11,-3.1698861214453824e-11,1.6562094536426908e-11
0.05392886588664213,6.980691651680848e-11,-3.402666178893929e-11,1.7890127363934594e-11
0.05567779462008837,7.586939357362794e-11,-3.7100145801913986e-11,1.938462388585697e-11
0.05749073580602473,8.14397214263147e-11,-3.997526000286493e-11,2.073223071172489e-11
