"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient"
0, -5.000000000000000e-02, 0.000000000000000e+00, 1.788957851823120e-45, 6.056526783166190e-27, 3.935416693031026e-45, 1.401314045866031e-03, 4.328666424402922e-04, 1.079670980116523e+01, -1.159704179724005e-16, 3.258893864617179e+04, 7.237068644851983e+01, 9.753443939457449e-43, 3.302033884545350e-24, 2.145599241187616e-42, 7.640000000000000e-01, 2.360000000000000e-01, 5.164999999999660e+02, 9.774999999999358e+02, 9.775000000003175e+02, 5.886393783338153e+03, -6.322736833495247e-14, 9.375000000000311e+00, -1.069721267488767e-15
1, 0.000000000000000e+00, 0.000000000000000e+00, 2.993792902387803e-42, 1.664778097336186e-25, 6.510124306624683e-42, 1.841280508082732e-03, 5.687725129679643e-04, 1.412868210979927e+01, 4.680206165266598e-02, 4.272384524691461e+04, 9.509288038886559e+01, 1.242210389662970e-39, 6.907640963892166e-23, 2.701236964399440e-39, 7.640000000000000e-01, 2.360000000000000e-01, 7.756109032254960e+02, 1.117135531610863e+03, 9.775005819154946e+02, 5.862394721772417e+03, 1.941951535666297e+01, 8.733832414586200e+00, 8.154079543119265e-03
2, 1.931920337076797e-01, 5.173816881076040e-02, 1.543413794407167e-14, 6.922264460020547e-11, 5.595827121375844e-14, 9.818645229607183e-03, 3.032984582837967e-03, 6.546794435480838e+01, 1.947659660434497e+01, 2.168236060841335e+05, 1.334202339764916e+03, 1.200947902024626e-12, 5.386293041209003e-09, 4.354176997679434e-12, 7.639999999967665e-01, 2.359999946113853e-01, 1.513764357120529e+04, 4.088731763996922e+03, 1.375139972492731e+03, 5.094135526563166e+03, 1.515496227604498e+03, 4.138774673575075e+00, 4.601194554411309e-01
3, 3.346696875411197e-01, 1.931032050318336e-01, 1.208089782091524e-04, 2.762264873935000e-03, 4.051375205523201e-04, 9.544120206171357e-03, 6.563358830909373e-05, 4.050642433912157e+01, 3.749670491550626e+01, 2.136308147751965e+05, 9.947942652177009e+03, 9.366514534912083e-03, 2.141628418228701e-01, 3.141096407852958e-02, 7.399710018181381e-01, 5.088677745550111e-03, 1.916674831370543e+04, 4.288606162149987e+03, 4.788053737104572e+03, 3.140528278228209e+03, 2.907179886865320e+03, 2.903063187846076e+00, 5.869131956849125e-01
4, 4.846696875411197e-01, 1.931032050318336e-01, 4.518646330153846e-06, 1.478872328090378e-04, 1.539304447323745e-05, 5.012749089694194e-04, 2.364587317179474e-06, 3.140604774521083e+00, 1.194009202106140e-02, 1.145756690904697e+04, 4.014967939363857e+02, 6.729800077322605e-03, 2.202543501029884e-01, 2.292547464822206e-02, 7.465687010356094e-01, 3.521674135857559e-03, 6.613391269637557e+02, 2.835993054785768e+03, 4.046506123426428e+03, 4.677427864484390e+03, 1.778285493829348e+01, 3.896284496631555e+00, 4.558008742652568e-03
6, -3.640905996670419e-02, 0.000000000000000e+00, 1.828224074813736e-44, 2.273624792336280e-26, 4.174026551591442e-44, 1.401314045866031e-03, 4.328666424402922e-04, 1.079670980116524e+01, -1.893162953280330e-15, 3.258893864617180e+04, 7.237068644889533e+01, 9.967524390968879e-42, 1.239586048872720e-23, 2.275689946035647e-41, 7.640000000000000e-01, 2.360000000000000e-01, 5.164999999999660e+02, 9.774999999999358e+02, 9.775000000003175e+02, 5.886393783338155e+03, -1.032157281640813e-12, 9.375000000000313e+00, -1.069721267488767e-15
7, -2.648758523368654e-02, 0.000000000000000e+00, 3.528919409820372e-44, 3.374497014675742e-26, 8.169127194086348e-44, 1.401314045866033e-03, 4.328666424402931e-04, 1.079670980116525e+01, -4.526684094615391e-15, 3.258893864617184e+04, 7.237068644862730e+01, 1.923975883247882e-41, 1.839784398663436e-23, 4.453829029041671e-41, 7.640000000000000e-01, 2.360000000000000e-01, 5.165000000003196e+02, 9.775000000006031e+02, 9.774999999967002e+02, 5.886393783338153e+03, -2.467959739994488e-12, 9.374999999997110e+00, 1.005681097963520e-14
8, -1.924472747190228e-02, 0.000000000000000e+00, 5.154218658901115e-44, 4.213405377593631e-26, 1.205136845241779e-43, 1.401314045866033e-03, 4.328666424402930e-04, 1.079670980116525e+01, -4.457225891331352e-15, 3.258893864617182e+04, 7.237068644870283e+01, 2.810093188616274e-41, 2.297159382636544e-23, 6.570436887298146e-41, 7.640000000000000e-01, 2.360000000000000e-01, 5.165000000003196e+02, 9.775000000006031e+02, 9.774999999967002e+02, 5.886393783338152e+03, -2.430090950007294e-12, 9.374999999997106e+00, 1.005681097963520e-14
9, -1.395714581734536e-02, 0.000000000000000e+00, 6.723561443742040e-44, 4.910167223120585e-26, 1.585069522858614e-43, 1.401314045866029e-03, 4.328666424402917e-04, 1.079670980116522e+01, -1.775351277001964e-16, 3.258893864617175e+04, 7.237068644861803e+01, 3.665702886639030e-41, 2.677035721957484e-23, 8.641839557924171e-41, 7.640000000000000e-01, 2.360000000000000e-01, 5.165000000003180e+02, 9.775000000006031e+02, 9.774999999967002e+02, 5.886393783338155e+03, -9.679260545706219e-14, 9.374999999997112e+00, 1.000672369620763e-14
10, -1.009678458521239e-02, 0.000000000000000e+00, 7.756560526111847e-44, 5.329284727193514e-26, 1.837416094605614e-43, 1.401314045866029e-03, 4.328666424402917e-04, 1.079670980116523e+01, 1.982421020127111e-15, 3.258893864617178e+04, 7.237068644897201e+01, 4.228896627013471e-41, 2.905539656572530e-23, 1.001763951785078e-40, 7.639999999999999e-01, 2.360000000000000e-01, 5.164999999999837e+02, 9.774999999999706e+02, 9.775000000001390e+02, 5.886393783338157e+03, 1.080821007857015e-12, 9.375000000000149e+00, -5.116058235815843e-16
