"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient"
0, -5.000000000000000e-02, 0.000000000000000e+00, 1.562877463802674e-51, 2.008985224284241e-30, 3.412771851635542e-51, 1.783192908929557e-03, 4.711596940155213e-04, 1.221406667804515e+01, -6.980084839142607e-18, 3.385825954409078e+04, 5.534445910601875e+01, 6.932710800257851e-49, 8.911583847441214e-28, 1.513858944327125e-48, 7.910000000000000e-01, 2.090000000000000e-01, 5.580999999999959e+02, 8.563999999999937e+02, 8.564000000000020e+02, 5.417993024733014e+03, -3.096270224109507e-15, 9.203000000000031e+00, -1.236926673157659e-16
1, 0.000000000000000e+00, 0.000000000000000e+00, 7.473834443902679e-48, 7.522381049714708e-29, 1.614885973453903e-47, 2.343051612811418e-03, 6.190869621714109e-04, 1.598095158966036e+01, 5.493878215848384e-02, 4.438380770979527e+04, 7.272073878302213e+01, 2.523121135190646e-45, 2.539510174590098e-26, 5.451757007901847e-45, 7.910000000000001e-01, 2.089999999999999e-01, 8.380560229889342e+02, 9.787103044247955e+02, 8.564003328811434e+02, 5.395072237548172e+03, 1.854699932760651e+01, 8.572392737418848e+00, 8.460988074443213e-03
2, 1.931920337076797e-01, 5.173816881076040e-02, 5.280738401228448e-17, 9.653306381269299e-13, 1.836835006338827e-16, 1.229589863039748e-02, 3.248853113766685e-03, 7.275891243782488e+01, 2.171726657337699e+01, 2.214183823030739e+05, 9.163524070669928e+02, 3.397119804684521e-15, 6.210010001796099e-11, 1.181643191512736e-14, 7.909999999999910e-01, 2.089999999378936e-01, 1.589753907723858e+04, 3.537794411914196e+03, 1.121561915230208e+03, 4.680609483559022e+03, 1.397080309126271e+03, 4.082231919156555e+00, 4.635971382772997e-01
3, 3.346696875411197e-01, 1.931032050318336e-01, 3.665021928101644e-05, 2.498924906899491e-03, 7.914125774946203e-04, 1.164608246782972e-02, 2.635419504824078e-04, 4.414242416719586e+01, 4.069617968791795e+01, 2.123774503167433e+05, 1.110146856962320e+04, 2.405404757145992e-03, 1.640079098222502e-01, 5.194150583859576e-02, 7.643485556099308e-01, 1.729662397207726e-02, 2.023421847859301e+04, 3.995111796127924e+03, 4.391758889734888e+03, 2.897128562030922e+03, 2.670946753917240e+03, 2.843018902551344e+00, 5.946626974526199e-01
4, 4.846696875411197e-01, 1.931032050318336e-01, 9.349667969729945e-07, 1.531666393636886e-04, 4.196068926263855e-05, 6.951556246575027e-04, 1.355785105126016e-05, 3.905340714224943e+00, 7.024155722865904e-03, 1.299110486639065e+04, 4.726074179457246e+02, 1.033368517155534e-03, 1.692868490190063e-01, 4.637689315015253e-02, 7.683181257028115e-01, 1.498476361087395e-02, 8.217690404609468e+02, 2.724466657456330e+03, 3.537404687220461e+03, 4.316363057930417e+03, 7.763421553693045e+00, 3.764384584453480e+00, 7.968753746112963e-03
6, -3.640905996670419e-02, 0.000000000000000e+00, 1.605649621405349e-50, 7.541745916271738e-30, 3.602076528997022e-50, 1.783192908929557e-03, 4.711596940155213e-04, 1.221406667804515e+01, 1.218977111310656e-17, 3.385825954409078e+04, 5.534445910611429e+01, 7.122442244872135e-48, 3.345415400598481e-27, 1.597831911605701e-47, 7.909999999999999e-01, 2.090000000000000e-01, 5.580999999999959e+02, 8.563999999999937e+02, 8.564000000000020e+02, 5.417993024733013e+03, 5.407215844221477e-15, 9.203000000000030e+00, -1.236926673157659e-16
7, -2.648758523368654e-02, 0.000000000000000e+00, 3.105457838663845e-50, 1.119340322366824e-29, 7.037386134925548e-50, 1.783192908929558e-03, 4.711596940155213e-04, 1.221406667804515e+01, 2.898407740920610e-17, 3.385825954409078e+04, 5.534445910611061e+01, 1.377538648837314e-47, 4.965240667784275e-27, 3.121688295669422e-47, 7.910000000000001e-01, 2.090000000000000e-01, 5.580999999999962e+02, 8.563999999999937e+02, 8.564000000000020e+02, 5.417993024733014e+03, 1.285694055638918e-14, 9.203000000000030e+00, -1.168208524648900e-16
8, -1.924472747190228e-02, 0.000000000000000e+00, 4.542261875632822e-50, 1.397611114520674e-29, 1.036885854173831e-49, 1.783192908929557e-03, 4.711596940155213e-04, 1.221406667804515e+01, 6.196164880828621e-17, 3.385825954409078e+04, 5.534445910611394e+01, 2.014885280012908e-47, 6.199611865042051e-27, 4.599483917552413e-47, 7.909999999999999e-01, 2.090000000000000e-01, 5.580999999999959e+02, 8.563999999999937e+02, 8.564000000000020e+02, 5.417993024733013e+03, 2.748534045975759e-14, 9.203000000000030e+00, -1.236926673157659e-16
9, -1.395714581734536e-02, 0.000000000000000e+00, 5.932332459115325e-50, 1.628731078589858e-29, 1.362394620578064e-49, 1.783192908929557e-03, 4.711596940155213e-04, 1.221406667804515e+01, 8.407065932351187e-17, 3.385825954409078e+04, 5.534445910611348e+01, 2.631501590019834e-47, 7.224828433946355e-27, 6.043396311642802e-47, 7.910000000000000e-01, 2.090000000000000e-01, 5.580999999999960e+02, 8.563999999999937e+02, 8.564000000000020e+02, 5.417993024733014e+03, 3.729259531702460e-14, 9.203000000000030e+00, -1.202567598903280e-16
10, -1.009678458521239e-02, 0.000000000000000e+00, 6.848539655088428e-50, 1.767754796811812e-29, 1.578364772209154e-49, 1.783192908929557e-03, 4.711596940155213e-04, 1.221406667804515e+01, 8.253390951840620e-17, 3.385825954409078e+04, 5.534445910611622e+01, 3.037918578549567e-47, 7.841518644875799e-27, 7.001410383394255e-47, 7.910000000000000e-01, 2.090000000000000e-01, 5.580999999999959e+02, 8.563999999999937e+02, 8.564000000000020e+02, 5.417993024733015e+03, 3.661091410925877e-14, 9.203000000000033e+00, -1.236926673157659e-16
