"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient","Metric_xx","Metric_xy","Metric_yy"
0, -5.000000000000000e-02, 0.000000000000000e+00, 5.457252258987899e-44, 4.142740541080172e-26, 1.201900202677924e-43, 1.488227124454974e-03, 4.148766152572690e-04, 1.154281857773863e+01, 3.180222902361480e-17, 3.590266109358040e+04, 8.237582232492029e+01, 2.867553746603986e-41, 2.176833797671256e-23, 6.315473915571499e-41, 7.820000000000000e-01, 2.180000000000000e-01, 5.554999999997506e+02, 1.010899999999545e+03, 1.010900000002448e+03, 6.065259784253246e+03, 1.671071752947289e-14, 9.488000000002129e+00, -7.125503020214579e-15, 4.000000000000000e+00, 9.154488092659406e-17, 4.000000000000000e+00
1, 0.000000000000000e+00, 0.000000000000000e+00, 7.265655059798228e-41, 1.071184101711697e-24, 1.583137461071341e-40, 1.955484126451626e-03, 5.451349610824224e-04, 1.510652917067675e+01, 4.885430391764288e-02, 4.707069800794315e+04, 1.082394904930270e+02, 2.905542509860291e-38, 4.283675618776591e-22, 6.330982071453874e-38, 7.820000000000000e-01, 2.179999999999999e-01, 8.341910554262233e+02, 1.155326095437624e+03, 1.010900662598084e+03, 6.041115676507874e+03, 1.953688355063301e+01, 8.839882625892495e+00, 7.961442247884323e-03, 1.056828489703184e+06, -7.300279631850264e+05, 9.297599140449021e+05
2, 1.931920337076797e-01, 5.173816881076040e-02, 9.341775624335431e-14, 2.476542736092113e-10, 3.444621322899014e-13, 1.051912151941241e-02, 2.932440278104927e-03, 7.067107134107678e+01, 2.098820040576349e+01, 2.410922937426160e+05, 1.623376266322128e+03, 6.944751540869954e-12, 1.841081896433316e-08, 2.560759346178177e-11, 7.819999999811017e-01, 2.179999815755269e-01, 1.660212710554958e+04, 4.274424043413601e+03, 1.466755286304273e+03, 5.253744591256849e+03, 1.560279790153732e+03, 4.169306429352041e+00, 4.584083072877378e-01, 1.122540561435081e+07, -1.939542711691149e+06, 2.386543619930941e+06
3, 3.346696875411197e-01, 1.931032050318336e-01, 2.822188681925014e-04, 2.769177088318230e-03, 2.431919395970447e-04, 1.007877798541089e-02, 2.115797489918621e-05, 4.334707241060735e+01, 4.014545764641291e+01, 2.356263248788196e+05, 1.110330365744444e+04, 2.106972007499013e-02, 2.067394942890341e-01, 1.815607200404677e-02, 7.524551147506258e-01, 1.579598881303166e-03, 2.097540330806706e+04, 4.490665937198021e+03, 5.048280921393705e+03, 3.236178670870636e+03, 2.997154514542718e+03, 2.913333325784118e+00, 5.833408634013189e-01, 6.028463401089751e+05, -3.488385126118062e+05, 3.800851031442924e+05
4, 4.846696875411197e-01, 1.931032050318336e-01, 1.270055093613183e-05, 1.442629440876614e-04, 6.397042622344813e-06, 5.157943695659802e-04, 4.883518118639865e-07, 3.275801431334664e+00, 1.457388366628928e-02, 1.232243655130719e+04, 4.542647437007313e+02, 1.868708438949391e-02, 2.122627454509497e-01, 9.412353521362717e-03, 7.589192752484573e-01, 7.185413897362795e-04, 6.976331940283754e+02, 2.937434266598414e+03, 4.373120210945986e+03, 4.819883649017509e+03, 2.144343149554437e+01, 3.931106759361771e+00, 4.060357136448563e-03, 7.052574172822775e+03, -7.808700963479358e+03, 7.904754303511897e+04
6, -3.640905996670419e-02, 0.000000000000000e+00, 5.572346369116510e-43, 1.555187971528842e-25, 1.275741372056757e-42, 1.488227124454974e-03, 4.148766152572689e-04, 1.154281857773862e+01, 6.580231207643229e-17, 3.590266109358038e+04, 8.237582232468371e+01, 2.928030801914704e-40, 8.171850746108005e-23, 6.703477826435537e-40, 7.819999999999999e-01, 2.180000000000000e-01, 5.554999999997503e+02, 1.010899999999545e+03, 1.010900000002448e+03, 6.065259784253246e+03, 3.457631378853886e-14, 9.488000000002129e+00, -7.131998465082596e-15, 4.000000000000001e+00, -9.209018344724845e-17, 4.000000000000001e+00
7, -2.648758523368654e-02, 0.000000000000000e+00, 1.075261292272155e-42, 2.308198426091002e-25, 2.497471564893442e-42, 1.488227124454973e-03, 4.148766152572689e-04, 1.154281857773862e+01, 9.121725662007878e-17, 3.590266109358038e+04, 8.237582232460562e+01, 5.650040351634953e-40, 1.212860012791532e-22, 1.312314989865488e-39, 7.820000000000000e-01, 2.180000000000000e-01, 5.554999999997503e+02, 1.010899999999545e+03, 1.010900000002448e+03, 6.065259784253247e+03, 4.793078523079947e-14, 9.488000000002131e+00, -7.131998465082596e-15, 4.000000000000000e+00, -2.582095517423473e-18, 4.000000000000000e+00
8, -1.924472747190228e-02, 0.000000000000000e+00, 1.570132685452724e-42, 2.882022303995489e-25, 3.685057637434140e-42, 1.488227124454974e-03, 4.148766152572688e-04, 1.154281857773862e+01, 1.114477905081816e-16, 3.590266109358038e+04, 8.237582232446306e+01, 8.250378855806018e-40, 1.514380032919941e-22, 1.936340915388741e-39, 7.820000000000000e-01, 2.180000000000000e-01, 5.554999999997503e+02, 1.010899999999545e+03, 1.010900000002448e+03, 6.065259784253248e+03, 5.856106957418571e-14, 9.488000000002131e+00, -7.131998465082596e-15, 4.000000000000001e+00, -5.988364123265910e-17, 4.000000000000001e+00
9, -1.395714581734536e-02, 0.000000000000000e+00, 2.047818108069836e-42, 3.358616175083424e-25, 4.847563367561988e-42, 1.488227124454973e-03, 4.148766152572685e-04, 1.154281857773862e+01, 2.158913949396374e-16, 3.590266109358035e+04, 8.237582232435861e+01, 1.076041240074215e-39, 1.764809823552374e-22, 2.547188188645441e-39, 7.820000000000000e-01, 2.180000000000000e-01, 5.554999999997605e+02, 1.010899999999565e+03, 1.010900000002289e+03, 6.065259784253248e+03, 1.134417375335941e-13, 9.488000000002042e+00, -6.842951168455842e-15, 4.000000000000000e+00, -3.880878109127444e-17, 4.000000000000000e+00
10, -1.009678458521239e-02, 0.000000000000000e+00, 2.362182608107064e-42, 3.645297822458488e-25, 5.619808792093325e-42, 1.488227124454972e-03, 4.148766152572684e-04, 1.154281857773861e+01, 5.859665891445463e-16, 3.590266109358035e+04, 8.237582232462118e+01, 1.241226402331719e-39, 1.915448825196296e-22, 2.952970284711369e-39, 7.819999999999999e-01, 2.180000000000000e-01, 5.554999999996583e+02, 1.010899999999379e+03, 1.010900000003282e+03, 6.065259784253248e+03, 3.079004979692529e-13, 9.488000000002913e+00, -9.762653636629456e-15, 3.999999999999999e+00, 9.142407305045607e-17, 3.999999999999999e+00
