"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient","Metric_xx","Metric_xy","Metric_yy"
0, -5.000000000000000e-02, 0.000000000000000e+00, 2.537875026672773e-51, 2.095563840331404e-30, 5.590044942150873e-51, 9.984995040866686e-04, 2.948936359219694e-04, 7.163844404146629e+00, -1.661287051856971e-16, 2.028597082185821e+04, 3.298468582531589e+01, 1.962183769318448e-48, 1.620206397814518e-27, 4.321999838435466e-48, 7.720000000000000e-01, 2.280000000000000e-01, 3.211000000000492e+02, 8.609000000001323e+02, 8.608999999990496e+02, 5.538798825002879e+03, -1.284440902358486e-13, 9.394999999999282e+00, 2.478360952152626e-15, 4.000000000000000e+00, -7.682155296814307e-17, 4.000000000000000e+00
3, -3.640905996670419e-02, 0.000000000000000e+00, 1.467710634956687e-50, 5.805313750049153e-30, 3.319092708178637e-50, 9.984995040866703e-04, 2.948936359219700e-04, 7.163844404146639e+00, -1.588351152768441e-15, 2.028597082185823e+04, 3.298468582520717e+01, 1.134775335940689e-47, 4.488437096558569e-27, 2.566190128514571e-47, 7.719999999999999e-01, 2.280000000000000e-01, 3.211000000000498e+02, 8.609000000001323e+02, 8.608999999990496e+02, 5.538798825002877e+03, -1.228049773603894e-12, 9.394999999999282e+00, 2.507012523853812e-15, 4.000000000000000e+00, 2.360853136615984e-17, 4.000000000000000e+00
4, -2.648758523368654e-02, 0.000000000000000e+00, 2.585226583922261e-50, 8.257388269954542e-30, 5.888432277019087e-50, 9.984995040866692e-04, 2.948936359219697e-04, 7.163844404146617e+00, 1.040887297072103e-14, 2.028597082185813e+04, 3.298468582523823e+01, 1.998794105174389e-47, 6.384283335459309e-27, 4.552701027144582e-47, 7.720000000000000e-01, 2.280000000000000e-01, 3.211000000000494e+02, 8.609000000001323e+02, 8.608999999990496e+02, 5.538798825002867e+03, 8.047725512639962e-12, 9.394999999999259e+00, 2.489821580833101e-15, 3.999999999999999e+00, -7.127340676871884e-17, 3.999999999999999e+00
6, -1.924472747190228e-02, 0.000000000000000e+00, 3.445236599556268e-50, 9.860894347090803e-30, 7.879142123032870e-50, 9.984995040866645e-04, 2.948936359219684e-04, 7.163844404146589e+00, 1.507250102006487e-14, 2.028597082185806e+04, 3.298468582534149e+01, 2.663719555164235e-47, 7.624050292260701e-27, 6.091838497751952e-47, 7.719999999999999e-01, 2.280000000000001e-01, 3.210999999999802e+02, 8.608999999999508e+02, 8.609000000007655e+02, 5.538798825002871e+03, 1.165345675172227e-11, 9.395000000000261e+00, -9.999398523714063e-16, 4.000000000000000e+00, -1.032362061295467e-16, 4.000000000000000e+00
20, -1.395714581734536e-02, 0.000000000000000e+00, 4.015840264395898e-50, 1.084245356117111e-29, 9.203188947756804e-50, 9.984995040866612e-04, 2.948936359219674e-04, 7.163844404146574e+00, 9.376850746618758e-15, 2.028597082185803e+04, 3.298468582556260e+01, 3.104887555201589e-47, 8.382952735545493e-27, 7.115538704415430e-47, 7.719999999999999e-01, 2.280000000000001e-01, 3.210999999999792e+02, 8.608999999999508e+02, 8.609000000007655e+02, 5.538798825002877e+03, 7.249807082289150e-12, 9.395000000000270e+00, -1.051512681433542e-15, 4.000000000000001e+00, -2.568556221055869e-17, 4.000000000000001e+00
22, -1.009678458521239e-02, 0.000000000000000e+00, 4.442479836558899e-50, 1.151580487391740e-29, 1.020006508884055e-49, 9.984995040866636e-04, 2.948936359219681e-04, 7.163844404146594e+00, 6.123086554150975e-15, 2.028597082185811e+04, 3.298468582530743e+01, 3.434748259550264e-47, 8.903561119738543e-27, 7.886283584875421e-47, 7.719999999999999e-01, 2.280000000000000e-01, 3.210999999999799e+02, 8.608999999999508e+02, 8.609000000007655e+02, 5.538798825002879e+03, 4.734126357056533e-12, 9.395000000000271e+00, -1.014265638221999e-15, 4.000000000000000e+00, 2.346935368682884e-17, 4.000000000000000e+00
27, -7.278131510363134e-03, 0.000000000000000e+00, 4.779252346126041e-50, 1.203910487260358e-29, 1.098602390941901e-49, 9.984995040866632e-04, 2.948936359219679e-04, 7.163844404146593e+00, 4.399872438602790e-15, 2.028597082185811e+04, 3.298468582563130e+01, 3.695127334674242e-47, 9.308155811405683e-27, 8.493955603742956e-47, 7.720000000000000e-01, 2.280000000000000e-01, 3.210999999999797e+02, 8.608999999999508e+02, 8.609000000007655e+02, 5.538798825002881e+03, 3.401805918479998e-12, 9.395000000000277e+00, -1.022861109732355e-15, 4.000000000000001e+00, -1.000320536381326e-16, 4.000000000000001e+00
29, -5.219729353472306e-03, 0.000000000000000e+00, 5.045425771426238e-50, 1.242869255072087e-29, 1.161082747463599e-49, 9.984995040866627e-04, 2.948936359219678e-04, 7.163844404146592e+00, 3.627501457174010e-15, 2.028597082185811e+04, 3.298468582553881e+01, 3.900922013079930e-47, 9.609369468774153e-27, 8.977028805455479e-47, 7.720000000000000e-01, 2.280000000000000e-01, 3.210999999999796e+02, 8.608999999999508e+02, 8.609000000007655e+02, 5.538798825002883e+03, 2.804639475008971e-12, 9.395000000000282e+00, -1.028591424072593e-15, 4.000000000000000e+00, 3.736919299805182e-17, 4.000000000000000e+00
34, -2.617116624604489e-03, 0.000000000000000e+00, 5.525377812834986e-50, 1.311501095186621e-29, 1.273798644032861e-49, 9.984995040866673e-04, 2.948936359219690e-04, 7.163844404146623e+00, 3.886796482528521e-15, 2.028597082185821e+04, 3.298468582534910e+01, 4.272001792740366e-47, 1.014000348863660e-26, 9.848503170693757e-47, 7.720000000000000e-01, 2.280000000000000e-01, 3.210999999999810e+02, 8.608999999999508e+02, 8.609000000007655e+02, 5.538798825002882e+03, 3.005116048862427e-12, 9.395000000000278e+00, -9.569624948196266e-16, 2.974216571171642e+05, -3.857045470387558e+05, 5.553307467923020e+05
39, -8.698244975333391e-04, 0.000000000000000e+00, 5.783319402686477e-50, 1.347273278681254e-29, 1.334468978364423e-49, 9.984995040866705e-04, 2.948936359219700e-04, 7.163844404146646e+00, 3.671473125370552e-15, 2.028597082185826e+04, 3.298468582511840e+01, 4.471431944233014e-47, 1.041657974676017e-26, 1.031758200260369e-46, 7.720000000000001e-01, 2.280000000000000e-01, 3.210999999999821e+02, 8.608999999999508e+02, 8.609000000007655e+02, 5.538798825002882e+03, 2.838636615426942e-12, 9.395000000000278e+00, -9.053896657574910e-16, 6.072477010807593e+05, -8.527760230696640e+05, 1.453435314305544e+06
