"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient","Metric_xx","Metric_xy","Metric_yy"
0, -5.000000000000000e-02, 0.000000000000000e+00, 5.023768422428637e-47, 7.181942494319019e-28, 1.141093246325773e-46, 1.653471189282733e-03, 5.022930731458627e-04, 1.188311393991890e+01, -4.226070393977470e-17, 3.361596754561467e+04, 7.158398079680508e+01, 2.330388581898590e-44, 3.331506426508869e-25, 5.293219050956266e-44, 7.670000000000000e-01, 2.329999999999999e-01, 5.766000000001820e+02, 9.281000000002928e+02, 9.280999999982378e+02, 5.512251106033210e+03, -1.960358313583207e-14, 9.007999999998580e+00, 5.557407712297935e-15, 4.000000000000001e+00, 7.842537868347064e-17, 4.000000000000001e+00
3, -3.640905996670419e-02, 0.000000000000000e+00, 3.104701883976236e-46, 2.113452206788836e-27, 7.402310454404867e-46, 1.653471189282733e-03, 5.022930731458629e-04, 1.188311393991890e+01, 3.437229912374488e-16, 3.361596754561467e+04, 7.158398079698129e+01, 1.440186173454145e-43, 9.803725962169477e-25, 3.433729087829726e-43, 7.670000000000000e-01, 2.330000000000000e-01, 5.766000000001820e+02, 9.281000000002928e+02, 9.280999999982378e+02, 5.512251106033210e+03, 1.594436818663208e-13, 9.007999999998580e+00, 5.557407712297935e-15, 4.000000000000001e+00, 5.027695415111546e-17, 4.000000000000001e+00
4, -2.648758523368654e-02, 0.000000000000000e+00, 5.680103455627276e-46, 3.062740681595848e-27, 1.379842222040948e-45, 1.653471189282732e-03, 5.022930731458626e-04, 1.188311393991889e+01, 1.083751044763554e-15, 3.361596754561467e+04, 7.158398079710329e+01, 2.634844428318106e-43, 1.420721520889066e-24, 6.400710161539066e-43, 7.670000000000000e-01, 2.330000000000000e-01, 5.765999999997889e+02, 9.280999999996606e+02, 9.281000000020596e+02, 5.512251106033211e+03, 5.027224282596860e-13, 9.008000000001648e+00, -6.446037552615406e-15, 4.000000000000001e+00, -3.682763849842016e-17, 4.000000000000001e+00
6, -1.924472747190228e-02, 0.000000000000000e+00, 7.468964646690327e-46, 3.616048820728467e-27, 1.833120794661778e-45, 1.653471189282733e-03, 5.022930731458629e-04, 1.188311393991890e+01, 2.236472064369627e-15, 3.361596754561468e+04, 7.158398079733908e+01, 3.464648142128536e-43, 1.677386012816993e-24, 8.503345317528638e-43, 7.670000000000000e-01, 2.330000000000000e-01, 5.765999999997890e+02, 9.280999999996606e+02, 9.281000000020596e+02, 5.512251106033212e+03, 1.037438138922532e-12, 9.008000000001651e+00, -6.442566342301666e-15, 4.000000000000000e+00, 1.016640183542752e-16, 4.000000000000000e+00
20, -1.395714581734536e-02, 0.000000000000000e+00, 8.956781233425349e-46, 4.040277420287977e-27, 2.212885035068053e-45, 1.653471189282734e-03, 5.022930731458632e-04, 1.188311393991890e+01, 4.297918575507341e-15, 3.361596754561468e+04, 7.158398079679846e+01, 4.154805508898732e-43, 1.874174041523614e-24, 1.026496762023092e-42, 7.670000000000000e-01, 2.330000000000000e-01, 5.766000000001577e+02, 9.281000000002532e+02, 9.280999999984832e+02, 5.512251106033210e+03, 1.993686717241281e-12, 9.007999999998772e+00, 4.814568705157549e-15, 4.000000000000000e+00, 8.719806245465087e-17, 4.000000000000000e+00
22, -1.009678458521239e-02, 0.000000000000000e+00, 1.015357976846724e-45, 4.356207461860242e-27, 2.521443476004618e-45, 1.653471189282734e-03, 5.022930731458630e-04, 1.188311393991889e+01, 8.052266792545484e-15, 3.361596754561462e+04, 7.158398079726173e+01, 4.709967571792208e-43, 2.020725335224138e-24, 1.169628572079612e-42, 7.670000000000001e-01, 2.330000000000000e-01, 5.766000000001713e+02, 9.281000000002754e+02, 9.280999999983571e+02, 5.512251106033206e+03, 3.735226032309361e-12, 9.007999999998658e+00, 5.231113942806363e-15, 4.000000000000000e+00, -5.283326669708011e-17, 4.000000000000000e+00
27, -7.278131510363134e-03, 0.000000000000000e+00, 1.097783689986346e-45, 4.564036752612990e-27, 2.735295103502781e-45, 1.653471189282733e-03, 5.022930731458629e-04, 1.188311393991887e+01, 1.387386148311912e-14, 3.361596754561455e+04, 7.158398079692066e+01, 5.092317880572096e-43, 2.117131651246195e-24, 1.268828485180151e-42, 7.670000000000000e-01, 2.330000000000000e-01, 5.766000000001827e+02, 9.281000000002938e+02, 9.280999999982830e+02, 5.512251106033200e+03, 6.435704369405118e-12, 9.007999999998558e+00, 5.578234974180375e-15, 4.000000000000000e+00, -8.374010062335657e-17, 4.000000000000000e+00
28, -5.219729353472306e-03, 0.000000000000000e+00, 1.164843706171825e-45, 4.728155896492040e-27, 2.909909744977715e-45, 1.653471189282734e-03, 5.022930731458631e-04, 1.188311393991887e+01, 1.795374329464274e-14, 3.361596754561451e+04, 7.158398079693727e+01, 5.403390929486691e-43, 2.193262027252224e-24, 1.349827435073781e-42, 7.670000000000000e-01, 2.330000000000000e-01, 5.765999999998190e+02, 9.280999999997082e+02, 9.281000000016895e+02, 5.512251106033195e+03, 8.328249803351306e-12, 9.008000000001392e+00, -5.526166819474273e-15, 3.999999999999999e+00, 3.439132148695558e-18, 3.999999999999999e+00
32, -3.716075109627959e-03, 0.000000000000000e+00, 1.219894100353476e-45, 4.859488490170560e-27, 3.053743682213765e-45, 1.653471189282726e-03, 5.022930731458607e-04, 1.188311393991881e+01, 2.178871923645701e-14, 3.361596754561431e+04, 7.158398079696542e+01, 5.658754631080108e-43, 2.254183620567158e-24, 1.416548059282491e-42, 7.669999999999999e-01, 2.330000000000000e-01, 5.766000000001713e+02, 9.281000000002797e+02, 9.280999999981534e+02, 5.512251106033193e+03, 1.010719011173829e-11, 9.007999999998615e+00, 5.231113942806363e-15, 4.000000000000000e+00, -3.449694608527295e-17, 4.000000000000000e+00
33, -2.617116624604489e-03, 0.000000000000000e+00, 1.257825975645710e-45, 4.949055141196101e-27, 3.152914367543403e-45, 1.653471189282704e-03, 5.022930731458539e-04, 1.188311393991866e+01, 1.257927644007528e-14, 3.361596754561395e+04, 7.158398079697983e+01, 5.834710211907478e-43, 2.295731136956870e-24, 1.462550624153828e-42, 7.670000000000000e-01, 2.330000000000000e-01, 5.766000000001865e+02, 9.281000000003166e+02, 9.280999999980731e+02, 5.512251106033202e+03, 5.835181823593369e-12, 9.007999999998448e+00, 5.692784914533799e-15, 4.000000000000000e+00, 9.610841600576569e-17, 4.000000000000000e+00
